id,sentence,#aspect terms,aspect_term,at_polarity
1062:1,और मैं केवल एक ही हो सकता हूं लेकिन मैं really में Windows 8 को like कर रहा हूं।,1,['Windows 8'],['positive']
792:2,Battery बहुत लंबी है।,1,['Battery'],['positive']
81:1,और यह बहुत quiet है मैं इसे बिल्कुल नहीं सुन पाता हूं।,0,[],[]
809:1,इसका size ideal है और weight acceptable है।,2,"['size', 'weight']","['positive', 'positive']"
794:47:00,"मुझे पता है कि Apple pcs की तुलना में अधिक expensive हैं, लेकिन वह सोचता है कि यह हर penny के लायक है।",0,[],[]
144:1,"मेरे लिए यह workhorse है, और quiet जितना हो सकता है, आप Uncle Sam को कोई ज्यादा dishing out किए बिना भी big bugs save कर सकते हैं, जरुर buy करें।",0,[],[]
495:1,"मैं कह सकता हूं कि computer ने जो performance supply किया है, मैं उससे पूरी तरह satisfy हूं।",1,['performance'],['positive']
393:1,"मैं पूरी तरह sure हूं कि जब मैंने इसे buy किया था, तो मेरा bank account खत्म हो गया था ouch!",0,[],[]
127:1,Great item के लिए आपका बहुत धन्यवाद ,0,[],[]
910:1,"इस laptop में केवल 2 USB ports हैं, और वे both एक ही side हैं।",1,['USB ports'],['negative']
1047:1,यह बहुत annoying है और मैं कभी भी कोई Acer products buy नहीं करुंगा।,0,[],[]
470:1,यही कारण है कि मैंने first place में एक BRAND NEW LAPTOP purchase किया  ताकि कोई problem न हो।,0,[],[]
499:1,इसकी speed बहुत ज्यादा अधिक है और screen बहुत sharp है।,2,"['speed', 'screen']","['positive', 'positive']"
457:1,"Laptop के रूप में, यह पिछले 2 years में हमारा 3rd Apple computer है।",0,[],[]
636:1,सब कुछ जो मैं चाहता था और जिसकी मुझे need थी और price great थी!,1,['price'],['positive']
48:1,"यह inexpensive नहीं है, लेकिन Hardware performance इस छोटे से computer के लिए impressive है।",1,['Hardware performance'],['positive']
992:1,यह मेरे old acer laptop से बेहतर है ,0,[],[]
57:1,"यह thing awesome है, सब कुछ हमेशा work करता है, सब कुछ हमेशा set up करने में easy है, सब कुछ compatible होता है, यह शाब्दिक रूप से सबकुछ है जो मैं मांग सकता था।",2,"['work', 'set up']","['positive', 'positive']"
38:28:00,मैं फिर से इसे चुटकियों में buy कर लुंगा।,0,[],[]
387:7,Press करने पर keyboard अच्छे से respond करता है।,1,['keyboard'],['positive']
211:0,अगर कोई मुझे Apple Fanboy बुलाता है ... तो इसका कोई sense होगा।,0,[],[]
1065:46:00,"अंत में, Windows 8 annoying है।",1,['Windows 8'],['negative']
801:38:00,"$ 1,500 MacBook पर एक scratch unforgivable है।",0,[],[]
116:1,मैं बस इस thing को पसंद करता हूं।,0,[],[]
Speed से लेकर multi touch gestures तक यह operating system Windows को easily beat करता है।,Setup या configure करने के लिए सब कुछ बहुत easy और intuitive है।,2,"['Setup', 'configure']","['positive', 'positive']"
332:4,"मुझे अभी तक अपने mac से कोई problem नहीं है, और hope है कि यह उसी तरह रहेगा।",0,[],[]
807:49:00,यह laptop एक बढ़िया खरीद है।,0,[],[]
1107:1,सबसे बड़ी complaint Windows 8 है।,1,['Windows 8'],['negative']
298:29:00,केवल 2 usb ports limited तरह का लहता है।,1,['usb ports'],['negative']
250:1,हालाकि यह देखने में जल्दबाजी है कि क्या यह वास्तव में problem को fix करता है या नहीं।,0,[],[]
789:25:00,इस device ने मेरे  expectations को पूरा किया है और मैं sure हूं कि यह आपकी भी करेगा।,0,[],[]
1061:1,इसमें सारे expected features और बहुत कुछ है plus wide screen और roomy keyboard से ज्यादा है। ,3,"['features', 'screen', 'keyboard']","['positive', 'positive', 'positive']"
797:41:00,"जो मैंने own किया है उन सभी laptops में से, यह अब तक का best है!",0,[],[]
128:1,मेरे द्वारा डाली गई किसी भी चीज के लिए Performance Amazing है।,1,['Performance'],['positive']
734:1,"मैं अब एक PC पर वापस नहीं जा सकता, यह machine कभी भी freeze नहीं होती है या कोई problem नहीं है।",0,[],[]
1012:1,Box के बाहर मैंने notice किया कि यह कितना small था और वास्तव में वही था जिसकी मैं तलास कर रहा था।,0,[],[]
655:1,Receiver quality और performance के लिए superlatives से भरा था।,2,"['quality', 'performance']","['positive', 'positive']"
301:1,मैं खुद OS से extremely happy था।,1,['OS'],['positive']
960:1,मैं एक regular laptop और tablet के बीच का कुछ ढूंढ रहा था और यह वही है।,0,[],[]
448:3,New MBP great portability offer करता है और हमें confidence देता है कि हमें 18 months में एक new laptop purchase करने की need नहीं है।,1,['portability'],['positive']
1158:1,Great purchase और मैं निश्चित रूप से Black Friday deals को miss नहीं करता था।,0,[],[]
794:24:00,"Criticism कम हो गई है, और अब मैं पहला होउगा जिसने सही मायने में portable computing के लिए एक Air recommend किया।",1,['portable computing'],['positive']
1141:1,मैंने इसे 5 stars दिए होंगे यह इस fact के लिए नहीं था कि इसमें Windows 8 था,1,['Windows 8'],['negative']
795:15:00,"MS Office 2011 for Mac शानदार है, इसके लायक है।",1,['MS Office 2011 for Mac'],['positive']
42:29:00,"एक month से अधिक time तक इसका use करने के बाद, एक issue surface पर आना start हो गया।",0,[],[]
106:1,लेकिन Mac Mini का performance एक huge disappointment वाला है।,1,['performance'],['negative']
782:1,किसी भी चीज को लेकर कोई problem नहीं हुई है।,0,[],[]
589:1,मैं Apple से believe करता हूं - आपको वह मिलता है जिसके लिए आप pay करते हैं।,0,[],[]
294:1,उनका सिर्फ look अच्छा नहीं है; वे excellent performance deliver करते हैं।,2,"['look', 'performance']","['positive', 'positive']"
553:1,मैंने इसे एक year से अधिक समय तक  बिना किसी Glitch रखा है। मुझे lit up keys और screen display पसंद है। जितना हो सकता है यह चीज Fast और clear है।,2,"['lit up keys', 'screen display']","['positive', 'positive']"
804:1,Product सभी के लिए perfect है।,0,[],[]
315:1,"यदि आप Microsoft Windows से familiar हैं, तो Mountain Lion OS को figure out करना hard नहीं है।",2,"['Mountain Lion OS', 'Microsoft Windows']","['positive', 'neutral']"
17:4,"हालांकि, मैं refute कर सकता हूं कि OSX ""FAST"" है।",1,['OSX'],['negative']
631:1,मैंने यह sure होने के लिए review करने का wait किया कि यह क्या है।,0,[],[]
796:35:00,Microsoft Office का इस्तेमाल करके enjoy कर रहा हूं।,1,['Microsoft Office'],['positive']
764:1,मैं किसी को भी इस product को suggest करुंगा। ,0,[],[]
452:1,"बिना किसी problem के, मैं इस purchase से happy हूं क्योंकि मैंने इसे कहीं और से buy करने की तुलना में money save किए हैं।",0,[],[]
412:1,Graphics बहुत बढ़िया है और colors brilliant है।,2,"['Graphics', 'colors']","['positive', 'positive']"
60:1,मुझे Apple से कुछ affordable चाहिए था और PC laptop के बाद PC laptop से deal कर के tired हो चुका था।,0,[],[]
317:1,बस थोड़ी face किया और mac buy किया hope कर रहा हूं कि यह बहुत लंबे समय तक चलेगा।,0,[],[]
747:5,Built-in apps पूरी तरह से amazing है।,1,['Built-in apps'],['positive']
395:3,Cons: Screen resolution.,1,['Screen resolution'],['negative']
469:1,Speed से लेकर multi touch gestures तक यह operating system Windows को easily beat करता है।,4,"['operating system', 'Windows', 'Speed', 'multi touch gestures']","['positive', 'negative', 'positive', 'positive']"
1028:1,मुझे वास्तव में size पसंद है और मैं ACERS का fan हूं।,1,['size'],['positive']
660:1,"यह अब तक का best, सबसे reliable computer है जो मुझे मिल सकता है।",0,[],[]
286:15:00,"मैंने SquareTrade 3-Year Computer Accidental Protection Warranty ($ 1500-2000) को चुना, जो कि drops और spills की तरह ""accidents"" का भी support करते हैं जो AppleCare द्वारा cover नहीं किए जाते हैं।",2,"['SquareTrade 3-Year Computer Accidental Protection Warranty', 'AppleCare']","['positive', 'negative']"
1002:1,यह light है और transport करने में easy है।,1,['transport'],['positive']
1118:1,जब आप एक बार past learnig कर लेते हैं कि खराब तरीके से design किए गए Windows 8 Set-Up का use कैसे करें तो आप frustrate feel कर सकते हैं।,1,['Windows 8 Set-Up'],['negative']
[],विशेष रूप से money के लिए बहुत powerful है।,0,[],[]
563:1,"जब मेरे Dell laptop ने केवल 2 1/2 years बाद give up कर दिया, तो मैंने MacBook Pro buy करने का decide किया।",0,[],[]
417:1,"यह एक new laptop का time है, और एकमात्र debate थी कि Mac laptops का कौन सा size हो या retina display के लिए जाएं।",2,"['size', 'retina display']","['neutral', 'neutral']"
929:1,यह Apple से new MacBook Pro लेने की तुलना में काफी अधिक affordable था।,0,[],[]
375:0,मैं हमेशा एक MacBook Pro चाहता था ..... हमेशा!,0,[],[]
727:1,क्यों मैं apple MacBook choose करता हूं reason उनका design और aluminum casing है।,2,"['design', 'aluminum casing']","['positive', 'positive']"
747:8,Aluminum body निश्चित तौर पर इसे अलग करती है। ,1,['Aluminum body'],['positive']
799:53:00,"कुल मिलाकर ये amazing product है, 5 stars!",0,[],[]
37:1,"Bluetooth devices integrate करना बहुत easy होता है, और USB devices को लगभग तुरंत recognize कर लेता है।",2,"['Bluetooth devices integrate', 'USB devices']","['positive', 'positive']"
741:1,वह अपने new laptop से thrilled है।,0,[],[]
532:1,Amazing product है जैसा कि आप Apple से expect करेंगे।,0,[],[]
757:1,इस computer में कुछ भी wrong नहीं है!,0,[],[]
891:8,"और fact यह है कि Apple Intel4000 graphic chip के साथ 13"" RMBP drive कर रहा है, मेरे लिए unpowered समझ में आ रहा है।",1,['Intel4000 graphic chip'],['negative']
786:42:00,मुझे आश्चर्य है कि Amazon इस dinosaur को क्यों sell कर रहा है।,0,[],[]
19:1,Apple ने DVD drive Firewire port (adapter के साथ work करेगा) को हटा दिया और SDXC slot को back पर एक silly position पर रख दिया।,3,"['DVD drive Firewire port', 'adapter', 'SDXC slot']","['neutral', 'neutral', 'negative']"
907:1,कोई hassle और कोई complaints नहीं।,0,[],[]
786:1,"यह पसंद है मैं हमेशा एक apple fan boy रहा हूं, लेकिन कभी भी mac buy करने के लिए money नहीं था, केवल ipads और iphones, और यह मेरा पहला mac है, जिसने मुझे पूरी तरह से खुश कर दिया।",0,[],[]
363:27:00,Laptop की durability इसे money के लायक बनाएगी।,1,['durability'],['positive']
422:1,अच्छे से designed किया गया है और fast है।,1,['designed'],['positive']
792:54:00,और अब मैं एक  MacBook owner भी हूँ!,0,[],[]
295:1,"लेकिन मैं completely wrong था, यह computer UNBELIEVABLE और use करने में easy है।",1,['use'],['positive']
1119:1,Exactly जैसा post किया गया था plus value भी great है।,1,['value'],['positive']
30:21:00,Specs भी काफी good था।,1,['Specs'],['positive']
1045:1,"मेरा एक friend है जो इसकी तलास कर रहा है, लेकिन शायद इसे return कर दूंगा।",0,[],[]
682:1,बिल्कुल भी कोई scratches या dents या कोई marks नहीं थे।,0,[],[]
148:1,"मेरे पास केवल one day रहा, लेकिन मैं वास्तव में इसे पसंद करता हूं और मैं happy हूं कि यह economical था और मैं अंत में एक Mac own करने में able रहा।",0,[],[]
652:1,"चूंकि मैंने हमेशा Apple products का use किया है, इसलिए Macbook Pro का choice obvious था।",0,[],[]
211:1,"Apple product quality, aesthetics, craftmanship, और customer service  में बेजोड़ है।",4,"['product quality', 'aesthetics', 'craftmanship', 'customer service']","['positive', 'positive', 'positive', 'positive']"
888:1,यह मेरा first apple laptop है।,0,[],[]
1078:1,यह एक बढ़िया gift बनाता है।,0,[],[]
1159:1,इसका size बढ़िया है और amazing windows 8 include है।,2,"['size', 'windows 8']","['positive', 'positive']"
661:1,मैं किसी को भी जो तलास कर रहा है first class computer recommend करुंगा।,0,[],[]
1150:1,मुझे Windows 8 बहुत ज्यादा पसंद नहीं है।,1,['Windows 8'],['negative']
791:32:00,Startup times incredibly long है: two minutes से अधिक।,1,['Startup times'],['negative']
369:0,मैं अपने old Macbook Air को replace करने के लिए एक year पहले Best Buy से Macbook Pro buy किया।,0,[],[]
897:1,Macbook pro वास्तव में responsive है।,0,[],[]
743:1,Colors stunning और speedy है।,1,['Colors'],['positive']
803:1,हालांकि यह वास्तव में expensive है।,0,[],[]
681:1,Great price free shipping मैं और क्या माँग सकता हूँ !!,2,"['price', 'shipping']","['positive', 'positive']"
801:1,यह mouse terrific है।,1,['mouse'],['positive']
280:12:00,मैं यह भी कहूंगा कि जो मैंने expect किया उससे बहुत better है!,0,[],[]
333:1,यह computer वह सब कुछ करता है जो मुझे school और बहुत कुछ करने के लिए चाहिए।,0,[],[]
809:43:00,यह battery के चारों ओर वास्तव में thick है।,1,['battery'],['neutral']
974:1,और windows 7 एक charm की तरह work करता है।,1,['windows 7'],['positive']
151:1,और मैं अपना projector इसमें attach कर सकता हूं।,0,[],[]
605:1,":) बढ़िया product, बढ़िया price, बढ़िया delivery, और बढ़िया service.",3,"['price', 'delivery', 'service']","['positive', 'positive', 'positive']"
846:1,यह बहुत तेजी से आया और customer service बहुत बढ़िया थी।,1,['customer service'],['positive']
983:1,Windows 8 try किया और इससे नफरत हो गई !!!,1,['Windows 8'],['negative']
912:1,"वहाँ पर अधिकांश laptop से price higher है; हालाँकि, उन्होंने जो pay किया है वो उन्हें मिलेगा, जो कि एक great computer है।",1,['price'],['conflict']
449:1,"तो, मैंने सोचा कि क्यों ना MacBook pro को try करें।",0,[],[]
723:1,Set up एक breeze था।,1,['Set up'],['positive']
1122:1,लेकिन मुझे Win8 पसंद नहीं है।,1,['Win8'],['negative']
893:1,मैंने कम से कम 4 से 5 laptop और computer own किये हैं - लेकिन यह अब तक की सबसे superior machine है जो मैंने कभी own की है।,0,[],[]
856:1,मैं अभी भी इसके features को learn करने के process में हूं।,1,['features'],['neutral']
789:34:00,"हालाकि, मैंने old laptop के बारे में online check किया जो कि ""died"" हो गया  और पाया कि मैं अकेला नहीं था, इससे बहुत दूर था।",0,[],[]
609:1,"मेरे पास अधिकांश PC users की तरह reasons हैं: price , OSX के overbearing restrictions और support for games की कमी है।",3,"['price', 'OSX', 'support for games']","['negative', 'negative', 'negative']"
101:1,"मैं इसे इसकी mobility और man के लिए चाहता था, यह little bad boy बहुत nice है।",1,['mobility'],['positive']
07:23,मुझे लगता है कि Apple का attention पाने का यह best way है।,0,[],[]
1126:1,अब तक बहुत nice है।,0,[],[]
668:1,आप disappoint नहीं होंगे।,0,[],[]
799:1,"एक new MacBook Pro का investment price पर आया था, लेकिन mind के एक अच्छे piece के लिए पूरी तरह से लायक था।",1,['price'],['conflict']
156:1,मैंने find किया कि mini set up करने के लिए Exceptionally easy है,1,['set up'],['positive']
34:18:00,USB3 होते हुए मैंने इस Mini को क्यूं buy किया।,1,['USB3'],['positive']
797:22:00,जहां भी इसे रखें sure करें कि air flow अच्छा हो।,0,[],[]
480:7,Sound nice और loud है; मुझे कुछ भी hearing में कोई problem नहीं होती है।,1,['Sound'],['positive']
720:1,"यह बहुत slim है, मैं trackpad से बहुत impress हूं।",1,['trackpad'],['positive']
798:57:00,मेरे MacBook ( circa 2007) के साथ भी यही problem थी कि मैं अभी retired हुआ हूं।,0,[],[]
229:1,"Great things छोटे ""packages"" में आती हैं।",0,[],[]
934:0,Apple MAC का बहुत बड़ा Fan हूं।,0,[],[]
387:1,"HP, ASUS, Acer, Sony और दूसरों का एक bunch देखा, लेकिन find नहीं कर सका मुझे वास्तव में पसंद आया।",0,[],[]
1122:5,Settings user-friendly नहीं हैं।,1,['Settings'],['negative']
07:22,"ईमानदारी से कहूं, मैं surprised हूं कि किसी और ने उनकी returning को mention नहीं किया है।",0,[],[]
439:1,"2 years के बाद उनमें से ज्यादातर या तो बहुत big थे, बहुत noisy और बहुत slow थे।",0,[],[]
386:1,"Used machine है, लेकिन new जैसा है, मैं बहुत impress हूं।",0,[],[]
1066:00:00,OpenOffice के लिए धन्यवाद!,1,['OpenOffice'],['positive']
627:1,"Form factor बहुत बढ़िया है , battery life बढ़िया है, UX शानदार है.",3,"['Form factor', 'battery life', 'UX']","['positive', 'positive', 'positive']"
302:1,कहने की ज़रूरत नहीं है कि उससे इससे पर leap करना amazing रहा है और (financial reasons से अलग) मैं astound हूं कि मैंने जल्द switch नहीं किया था।,0,[],[]
792:1,"यह perfect है, बहुत heavy नहीं है।",0,[],[]
876:1,मुझे keyboard और screen बहुत पसंद है।,2,"['keyboard', 'screen']","['positive', 'positive']"
1113:1,मैंने find किया कि यह बहुत user friendly नहीं हैं।,0,[],[]
536:1,इसने सभी expectations को surpassed किया और मेरी सभी needs को fulfill किया।,0,[],[]
998:1,"हालांकि, touchpad के साथ MAJOR issues हैं जो device को लगभग useless कर देते हैं।",1,['touchpad'],['negative']
292:1,मुझे जो किसी भी और चीज से ज्यादा anger दिलाती है वो ये है कि मैने वो सारे years MACs से hate करने में नीकाल दिए जब मैं बहुत कम grief के साथ बहुत अधिक production प्राप्त कर सकता था!,0,[],[]
104:1,मैंने पहले ही OS X Mavericks को upgrade किया है और मैं इस computer की हर चीज से impress हूं।,1,['Mavericks'],['positive']
798:51:00,तो यह बहुत अच्छा computer है और मैं इसे highly suggest करता हूं।,0,[],[]
517:1,Mbp जो मैंने receive किया वह सब कुछ था जो इसे होना चाहिए था।,0,[],[]
1049:1,मैं today buy करने जा रहा था और notice किया कि यह $ 344.99 तक वापस चला गया था?,0,[],[]
218:1,उतना fast नहीं है जितना मैंने एक i5 से expet किया था।,1,['i5'],['negative']
622:1,तो बेशक यह एक awesomeness के माध्यम से आया था!,0,[],[]
797:48:00,आपको इस computer को buy करने का regret नहीं होगा!,0,[],[]
826:1,इसके बारे में bad कहने के लिए कुछ भी नहीं है ,0,[],[]
850:1,यह Macbook के लिए heavy है लेकिन अच्छा है।,0,[],[]
79:1,बढ़िया service और shipping के लिए धन्यवाद।,2,"['service', 'shipping']","['positive', 'positive']"
799:05:00,Deal of the year.,0,[],[]
842:7,मेरी sisters ने उसी laptop को उसी reason से month के बाद तोड़ दिया।,0,[],[]
35:07:00,बहुत से people के लिए Minis का sense है।,0,[],[]
16:1,"Performance काफी अच्छा लगता है, और built-in applicationsजैसे कि iPhoto मेरे phone और camera के साथ बढ़िया work करते हैं।",3,"['Performance', 'built-in applications', 'iPhoto']","['positive', 'positive', 'positive']"
34:58:00,यह Mac Mini Macbook Pro को slow बनाता है।,0,[],[]
895:1,मैंने Samsung 830 SSD के लिए hard drive को swap out किया जिसे मैं highly recommend करता हूं।,2,"['hard drive', 'Samsung 830 SSD']","['neutral', 'positive']"
836:1,"मैंने अपने six-year-old PC (Sony Vaio) को replace करने के लिए MacBook Pro buy किया, लेकिन यह मूल रूप से मेरे old PC से better नहीं था, इसलिए मैंने इसे return कर दिया।",0,[],[]
1087:1,"मैं एक simple, reliable laptop चाहता था।",0,[],[]
846:2,यह apple पर भी buy करने में सस्ता है!,0,[],[]
1065:45:00,मुझे बस अपने last computer की तुलना में little harder typer बनना learn करना है।,0,[],[]
335:1,जिस तरह से यह है उससे बेहद disappointe हूं।,0,[],[]
342:1,Computer का use करके कभी भी happy नहीं हुआ।,0,[],[]
442:1,मैंने कई अलग-अलग manufacturers से कुल 5 अलग-अलग laptop लिए हैं।,0,[],[]
534:1,जो मैं इस laptop से करवाना चाहता था सब कुछ करता है ,0,[],[]
905:2,इसके अलावा sale के lack में apple के stocks में गिरावट रही है।,0,[],[]
1071:1,पता चला है कि यह common problem है।,0,[],[]
714:1,Starts up Hurry में है और सब कुछ होने के लिए ready है।,1,['Starts up'],['positive']
904:1,जितना हो सकता है यह fast भी है जिसके लिए आप pay करते हैं आपको मीलता है investment well worth है।,0,[],[]
252:1,लेकिन मैं अभी भी learn कर रहा हूं इसलिए इसे हर चीज के लिए rate नहीं कर सकता।,0,[],[]
795:17:00,"कुल मिलाकर बहुत impress हूं, धन्यवाद Apple और Amazon!",0,[],[]
800:36:00,"हां, यह अच्छी बात है, लेकिन यह aluminum से बना है जिसमें easily scratch लग जाता है।",1,['aluminum'],['negative']
1091:1,मेरी needs के लिए बहुत fast है।,0,[],[]
385:1,मैंने अपने old Dell laptop को replace करने के लिए Mac buy किया।,0,[],[]
566:1,Quick और built in virus control में किया गया है।,1,['built in virus control'],['positive']
491:1,एक long time से retina display के साथ और इसके बिना के बीच decide करने का try कर रहा हूं।,1,['retina display'],['neutral']
107:1,मैंने Best Buy पर Mini Mac देखा और इसे मेरे replacement के रूप में लेने का decide किया।,0,[],[]
690:1,मैंने आखिरकार इस पर decide किया और कोई भी happy नहीं हो सकता है।,0,[],[]
278:5,मुझे यह भी inform किया गया है कि MacBook के components dirty हैं।,1,['components'],['negative']
732:1,बहुत glad हूं कि मैंने bar products से कम पर money waste नहीं किया। ,0,[],[]
798:22:00,One bit भी regrette नहीं है।,0,[],[]
155:1,एक चीज जो Apple सही करता है वह है computers.,0,[],[]
337:1,"Hardware problems बहुत खराब हैं, मैं तब तक wait नहीं कर सकता जब तक कि यह 3 years में पूरी तरह से die ना जाए, TOPS!",1,['Hardware'],['negative']
857:1,यह बहुत nice है कि battery बहुत देर तक चलती है और इस machine में snow lion है!,2,"['battery', 'snow lion']","['positive', 'positive']"
777:1,मुझे लगता है कि वे market में best हैं।,0,[],[]
927:1,हालाकि मैंने two days की shipping choose की और इसे आने में one week से अधिक समय लगा।,1,['shipping'],['negative']
36:08:00,"यह $ 599 से काफी अधिक है जो यह little guy sell करता है, जो मुझे मेरे next point पर leave कर देता है।",0,[],[]
419:1,यह काफी smooth होने के साथ-साथ heavy भी है और easily hands से slip हो सकता है।,0,[],[]
794:09:00,मेरा laptop इतना light है कि मैं इसे अपने साथ कहीं भी ले जा सकता हूं।,0,[],[]
679:1,"यह exactly वही है जो मैं चाहता था, और इसमे सारे new features थे और क्या नहीं था।",1,['features'],['positive']
476:1,आप बिल्कुल कुछ भी कर सकते हैं और बहुत fast और stylish है।,0,[],[]
585:1,"अंत में एक MAC try करने का decide किया क्योंकि बहुत सारे choices थे जिनमें से PC buy करने के लिए थे और हर कोई जिसके पास MAC था ""एक MAC buy करने "" को कह रहा था।",0,[],[]
503:1,क्या आप MacBook की quality से match करने वाला कोई भी laptop buy कर सकते हैं?,1,['quality'],['positive']
1040:1,"Cheap feel होता है, keyboard बहुत sensitive नहीं है।",1,['keyboard'],['negative']
842:9,जिसने laptop के सारे point को defeat किया है।,0,[],[]
982:1,"हालांकि कृपया ध्यान दें कि कभी-कभी यह crash हो जाता है, और sound quality superb नहीं है।",1,['sound quality'],['negative']
748:1,Novice के लिए भी navigate करना बहुत easy है।,1,['navigate'],['positive']
170:1,"लेकिन अब तक, कोई complaints नहीं है।",0,[],[]
1065:39:00,Cons ज्यादा annoyance होते हैं जो कि रह सकते हैं।,0,[],[]
989:1,"क्या सब कुछ है जो मुझे इससे चाहिए, wonderful battery life और मैं happy नहीं हो सकता था।",1,['battery life'],['positive']
765:1,Quality और Performance बढ़िया है।,2,"['Performance', 'Quality']","['positive', 'positive']"
1030:4,वही है जो मेरे portable और Wallet के लिए भी Needed है।,0,[],[]
502:1,Device अपने बारे में खुद बोलता है।,0,[],[]
462:1,"मैंने extensively windows XP, windows Vista, और Windows 7 का use किया है।",3,"['windows XP', 'windows Vista', 'Windows 7']","['neutral', 'neutral', 'neutral']"
914:1,"केवल एक चीज जिसने मुझे इस purchase के बारे में परेशान किया, वह यह है कि उन्होंने मेरे इसे तुरन्त buy करने के बाद एक new update किए गए mbp को seriouly release किया।",0,[],[]
890:1,Bed या sofa पर use करने पर यह hot हो जाता है और desk पर warm हो जाता है .... यह एक un-air conditioned room में है air condition में यह थोड़ा warm हो जाता है।,0,[],[]
124:1,मैंने एक SSD drive और memory add किया।,2,"['SSD drive', 'memory']","['neutral', 'neutral']"
790:0,"मुझे यह मिला, $ 962 के लिए Offer देने के लिए धन्यवाद :)।",0,[],[]
896:1,मेरे पास 3 years के लिए मेरा PC laptop था और MacBook Pro के लिए जाना ऐसा है जैसे मैंने समय के साथ छलांग लगा दी।,0,[],[]
269:1,"Start up पर यह endless questions पूछता है, ताकि itune आपको उसके अधिक product sell कर सके।",2,"['Start up', 'itune']","['negative', 'negative']"
35:09:00,एक Mini लेने का काफी ज्यागा sense बनता है।,0,[],[]
332:1,"मैं बहुत long time से Pc user हूं, लेकिन मैं इस नए OS का used to हो जाउंगा।",1,['OS'],['neutral']
869:1,ऐसा कुछ नहीं जिसे आप miss out करना चाहते हैं।,0,[],[]
797:28:00,"एक और बात, यह mac restore disks के साथ नहीं आता है और मैं sure नहीं हूं कि अगर आप उन्हें mac से direct कर सकते हैं जैसे आप नए PC के साथ कर सकते हैं, charging cables भी iphone / iPod touch की तरह ही cheap material से बने होते हैं। ",3,"['restore disks', 'charging cables', 'material']","['negative', 'negative', 'negative']"
300:1,मैंने इसे अपने son के लिए buy किया जो इसे graphic design के लिए use करता है।,1,['graphic design'],['neutral']
