review_text,sentiment,language_mix,rating,review_id,product_id,category,platform,review_length_chars,estimated_tokens,will_be_truncated
"Trimmer ka performance mast tha, price affordable. Warranty return slow tha. Nahi lena chahiye tha.",positive,hindi_english,4,REV_009101,PROD0009101,General,Unknown,99,21,False
"Formal Shirt ki stitching solid hai, color vibrant. Exchange return theek tha. Must try.",positive,hindi_english,5,REV_005462,PROD0005462,General,Unknown,88,19,False
Idli Sambar fresh tha aur Swiggy delivery bahut fast thi thi. Price mehenga tha. Value for money.,negative,hindi_english,2,REV_002382,PROD0002382,Food,Swiggy,97,23,False
"Bangalore me Swiggy ka order diya Paneer Tikka. Quantity kam thi, thik temperature. Must try.",neutral,hindi_english,3,REV_005883,PROD0005883,Food,Swiggy,93,21,False
"Moisturizer ka result visible mila, fragrance none. Price affordable. Must try.",negative,hindi_english,2,REV_011407,PROD0011407,Beauty,Nykaa,79,15,False
"Amazon pe Trimmer purchase kiya, build solid hai. Packaging sahi thi, delivery on time thi. Value for money.",negative,hindi_english,1,REV_004802,PROD0004802,Electronics,Amazon,118,26,False
"Powerbank ka performance mast tha, price zyada tha. Warranty return helpful tha. Phir bhi recommend karunga.",positive,hindi_english,4,REV_009649,PROD0009649,General,Unknown,108,22,False
"Hoodie ki stitching average hai, color as shown. Exchange return theek tha. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_007321,PROD0007321,Fashion,Myntra,103,22,False
"Shampoo ka result visible mila, fragrance mild. Price mehenga tha. Value for money.",neutral,hindi_english,3,REV_001969,PROD0001969,Beauty,Nykaa,93,19,False
"Nykaa se Sunscreen SPF50 liya, skin pe feel lightweight hai. Packaging kharab thi. Delivery on time thi. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_012179,PROD0012179,Beauty,Nykaa,127,29,False
"Zomato pe Hakka Noodles mangwaya, average. Delivery on time thi thi, packaging theek thi. Disappointed ho gaya.",negative,hindi_english,1,REV_010882,PROD0010882,Food,Zomato,111,23,False
"Steam Iron ka performance excellent tha, price zyada tha. Warranty return slow tha. Disappointed ho gaya.",negative,hindi_english,2,REV_002000,PROD0002000,Electronics,Flipkart,115,23,False
"Amazon pe Pressure Cooker purchase kiya, build flimsy hai. Packaging theek thi, delivery bahut fast thi. Overall theek hai.",neutral,hindi_english,3,REV_010628,PROD0010628,Kitchen,Amazon,123,26,False
"Flipkart se Powerbank liya, quality average. Delivery late thi, packaging sahi thi. Value for money.",positive,hindi_english,4,REV_004965,PROD0004965,General,Unknown,100,21,False
"Moisturizer ka result decent mila, fragrance strong. Price mehenga tha. Must try.",negative,hindi_english,1,REV_000676,PROD0000676,Beauty,Nykaa,91,18,False
"Mumbai me Swiggy ka order diya Margherita Pizza. Quantity kam thi, thik temperature. Disappointed ho gaya.",neutral,hindi_english,3,REV_012089,PROD0012089,Food,Swiggy,116,23,False
"Cotton T-Shirt ki stitching flimsy hai, color vibrant. Exchange return theek tha. Overall theek hai.",negative,hindi_english,2,REV_009005,PROD0009005,Fashion,Myntra,110,22,False
"Denim Jeans ki stitching badhiya hai, color thoda fade. Exchange return helpful tha. Overall theek hai.",negative,hindi_english,1,REV_009142,PROD0009142,Fashion,Myntra,103,22,False
quality is below average not worth for what i paid tires are torn within a monthloose fittingsnot recommended,positive,english,4,ENG_011580,ENGSRC011580,General,Unknown,109,25,False
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging sahi thi. Delivery bahut fast thi. Must try.",negative,hindi_english,2,REV_001922,PROD0001922,Beauty,Nykaa,112,26,False
"Nykaa se Face Serum liya, skin pe feel lightweight hai. Packaging theek thi. Delivery late thi. Nahi lena chahiye tha.",positive,hindi_english,4,REV_007245,PROD0007245,General,Unknown,118,28,False
"Zomato pe Vada Pav mangwaya, fresh. Delivery on time thi thi, packaging leak-proof thi. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_008083,PROD0008083,Food,Zomato,115,25,False
"Myntra se Anarkali Dress liya, size loose tha aur fabric lightweight. Delivery late thi. Nahi lena chahiye tha.",positive,hindi_english,4,REV_002297,PROD0002297,General,Unknown,111,25,False
"Nykaa se Face Wash liya, skin pe feel lightweight hai. Packaging kharab thi. Delivery on time thi. Overall theek hai.",neutral,hindi_english,3,REV_009203,PROD0009203,Beauty,Nykaa,117,28,False
"Restaurant se Hakka Noodles order kiya via Zomato. Portion kam tha, garam aaya. Value for money.",negative,hindi_english,1,REV_005459,PROD0005459,Food,Zomato,96,22,False
"Allergic reaction nahi hua, texture runny. Nykaa service slow tha. Overall theek hai.",negative,hindi_english,1,REV_000570,PROD0000570,Beauty,Nykaa,85,18,False
"Nykaa se Moisturizer liya, skin pe feel greasy nahi hai. Packaging theek thi. Delivery late thi. Overall theek hai.",negative,hindi_english,1,REV_001656,PROD0001656,Beauty,Nykaa,125,28,False
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging leak-proof thi. Delivery late thi. Disappointed ho gaya.",negative,hindi_english,2,REV_007144,PROD0007144,Beauty,Nykaa,124,26,False
"Nykaa se Sunscreen SPF50 liya, skin pe feel lightweight hai. Packaging theek thi. Delivery on time thi. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_000802,PROD0000802,Beauty,Nykaa,126,29,False
"Price affordable tha, Running Shoes overall okay okay. Overall theek hai.",positive,hindi_english,4,REV_004806,PROD0004806,General,Unknown,73,15,False
"Myntra se Cotton T-Shirt liya, size thoda tight tha aur fabric thick. Delivery late thi. Overall theek hai.",neutral,hindi_english,3,REV_006250,PROD0006250,Fashion,Myntra,117,26,False
"Zomato pe Veg Pulao mangwaya, fresh. Delivery late thi thi, packaging sahi thi. Disappointed ho gaya.",negative,hindi_english,1,REV_012988,PROD0012988,Food,Zomato,101,22,False
"Flipkart se Trimmer liya, quality average. Delivery late thi, packaging kharab thi. Nahi lena chahiye tha.",negative,hindi_english,2,REV_006042,PROD0006042,Electronics,Flipkart,106,22,False
Margherita Pizza fresh tha aur Swiggy delivery on time thi thi. Price zyada tha. Value for money.,neutral,hindi_english,3,REV_006459,PROD0006459,Food,Swiggy,107,25,False
"Nykaa se Sunscreen SPF50 liya, skin pe feel greasy nahi hai. Packaging sahi thi. Delivery late thi. Overall theek hai.",negative,hindi_english,2,REV_010452,PROD0010452,Beauty,Nykaa,118,28,False
"Cotton T-Shirt ki stitching flimsy hai, color vibrant. Exchange return theek tha. Value for money.",negative,hindi_english,2,REV_002590,PROD0002590,Fashion,Myntra,98,21,False
"Swiggy se Idli Sambar order kiya, taste spicy tha, delivery late thi. Packaging leak-proof thi. Value for money.",neutral,hindi_english,3,REV_004369,PROD0004369,Food,Swiggy,112,25,False
"Swiggy se Margherita Pizza order kiya, taste average tha, delivery on time thi. Packaging leak-proof thi. Must try.",neutral,hindi_english,3,REV_000311,PROD0000311,Food,Swiggy,115,25,False
"Price mehenga tha tha, Hoodie overall great value. Overall theek hai.",negative,hindi_english,2,REV_008544,PROD0008544,Fashion,Myntra,69,15,False
one word for this product just woweverything is perfectthanks to flipkart,positive,english,4,ENG_022991,ENGSRC022991,General,Unknown,73,15,False
good product easy to assemble operate and clean dense juice with practically no air bubbles can be used to extract juices prepare smoothies and sorbet,positive,english,4,ENG_032941,ENGSRC032941,General,Unknown,150,35,False
"Kurta Set ki stitching average hai, color vibrant. Exchange return helpful tha. Disappointed ho gaya.",negative,hindi_english,2,REV_002699,PROD0002699,Fashion,Myntra,101,21,False
"Flipkart se Trimmer liya, quality solid. Delivery on time thi, packaging kharab thi. Value for money.",neutral,hindi_english,3,REV_009997,PROD0009997,Electronics,Flipkart,111,23,False
"Zomato pe Butter Chicken mangwaya, theek thaak. Delivery late thi thi, packaging leak-proof thi. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_007958,PROD0007958,Food,Zomato,124,25,False
"Price affordable tha, Cotton T-Shirt overall great value. Overall theek hai.",negative,hindi_english,2,REV_004495,PROD0004495,Fashion,Myntra,76,15,False
Rajma Chawal fresh tha aur Swiggy delivery late thi thi. Price affordable. Must try.,neutral,hindi_english,3,REV_002728,PROD0002728,Food,Swiggy,84,19,False
"Swiggy se Margherita Pizza order kiya, taste theek thaak tha, delivery late thi. Packaging theek thi. Disappointed ho gaya.",positive,hindi_english,5,REV_003899,PROD0003899,General,Unknown,123,26,False
"Matte Lipstick ka result decent mila, fragrance mild. Price affordable. Overall theek hai.",negative,hindi_english,1,REV_012634,PROD0012634,Beauty,Nykaa,90,18,False
"Ahmedabad me Swiggy ka order diya Rajma Chawal. Quantity kam thi, thik temperature. Phir bhi recommend karunga.",negative,hindi_english,1,REV_006519,PROD0006519,Food,Swiggy,121,25,False
giving review after 8month of purchase purchased on jan 2022 product is awesome service also good,positive,english,4,ENG_003118,ENGSRC003118,General,Unknown,97,22,False
"Nykaa se Matte Lipstick liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery bahut fast thi. Must try.",positive,hindi_english,5,REV_002154,PROD0002154,General,Unknown,117,28,False
good but very light weight and material quality is also average,positive,english,4,ENG_036333,ENGSRC036333,General,Unknown,63,15,False
"Amazon pe Trimmer purchase kiya, build badhiya hai. Packaging sahi thi, delivery on time thi. Overall theek hai.",positive,hindi_english,5,REV_003709,PROD0003709,General,Unknown,112,25,False
"Price mehenga tha tha, Kurta Set overall great value. Overall theek hai.",neutral,hindi_english,3,REV_007153,PROD0007153,Fashion,Myntra,72,16,False
"Myntra se Anarkali Dress liya, size perfect tha aur fabric thick. Delivery late thi. Value for money.",negative,hindi_english,1,REV_002032,PROD0002032,Fashion,Myntra,101,23,False
it not soo good that i exception at certain volume it bass disturb finally not good i not suggest that you buy this sound bar because it sounds also distributed at full volume,positive,english,4,ENG_022174,ENGSRC022174,General,Unknown,175,46,False
"Swiggy se Margherita Pizza order kiya, taste bahut achha tha, delivery late thi. Packaging kharab thi. Must try.",negative,hindi_english,2,REV_011115,PROD0011115,Food,Swiggy,122,26,False
Paneer Tikka ka flavour light tha. Zomato delivery on time thi. Nahi lena chahiye tha.,negative,hindi_english,2,REV_010912,PROD0010912,Food,Zomato,86,21,False
"Electric Kettle ka performance theek tha, price mehenga tha. Warranty return slow tha. Overall theek hai.",neutral,hindi_english,3,REV_012541,PROD0012541,Kitchen,Flipkart,105,22,False
"Pressure Cooker ka performance excellent tha, price reasonable. Warranty return helpful tha. Must try.",negative,hindi_english,2,REV_010027,PROD0010027,Electronics,Flipkart,102,19,False
"Nykaa se Kajal liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery bahut fast thi. Disappointed ho gaya.",neutral,hindi_english,3,REV_010293,PROD0010293,Beauty,Nykaa,130,29,False
"Conditioner ka result visible mila, fragrance none. Price reasonable. Must try.",negative,hindi_english,2,REV_006809,PROD0006809,Beauty,Nykaa,89,16,False
"Zomato pe Chicken Shawarma mangwaya, spicy. Delivery on time thi thi, packaging leak-proof thi. Value for money.",negative,hindi_english,2,REV_010717,PROD0010717,Food,Zomato,122,25,False
"Nykaa se Hair Oil liya, skin pe feel greasy nahi hai. Packaging kharab thi. Delivery late thi. Value for money.",negative,hindi_english,2,REV_001303,PROD0001303,Beauty,Nykaa,111,28,False
"Zomato pe Veg Pulao mangwaya, bland. Delivery late thi thi, packaging leak-proof thi. Overall theek hai.",neutral,hindi_english,3,REV_001687,PROD0001687,Food,Zomato,114,23,False
"Flipkart se Pressure Cooker liya, quality badhiya. Delivery late thi, packaging theek thi. Value for money.",negative,hindi_english,2,REV_011067,PROD0011067,Home,Flipkart,107,22,False
"Jaipur me Swiggy ka order diya Cheeseburger. Quantity kaafi thi, thik temperature. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_007717,PROD0007717,Food,Swiggy,110,22,False
"Flipkart se Mixer Grinder liya, quality badhiya. Delivery on time thi, packaging theek thi. Disappointed ho gaya.",negative,hindi_english,1,REV_008568,PROD0008568,Kitchen,Flipkart,123,25,False
"Myntra se Kurta Set liya, size thoda tight tha aur fabric lightweight. Delivery bahut fast thi. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_001445,PROD0001445,Fashion,Myntra,128,29,False
"Denim Jeans ki stitching solid hai, color thoda fade. Exchange return theek tha. Disappointed ho gaya.",negative,hindi_english,1,REV_011427,PROD0011427,Fashion,Myntra,102,22,False
"Powerbank ka performance excellent tha, price reasonable. Warranty return helpful tha. Disappointed ho gaya.",neutral,hindi_english,3,REV_010212,PROD0010212,Electronics,Flipkart,108,19,False
"Nykaa se Face Serum liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery on time thi. Nahi lena chahiye tha.",positive,hindi_english,4,REV_000121,PROD0000121,General,Unknown,123,30,False
"Amazon pe Powerbank purchase kiya, build solid hai. Packaging sahi thi, delivery bahut fast thi. Phir bhi recommend karunga.",negative,hindi_english,1,REV_000509,PROD0000509,Kitchen,Amazon,134,28,False
"Flipkart se Bluetooth Speaker liya, quality solid. Delivery late thi, packaging kharab thi. Must try.",positive,hindi_english,5,REV_010208,PROD0010208,General,Unknown,101,21,False
bought this and i loved the productbecause at this price i good such a good sound and bassmetallic earbuds are also very goodi am very happy,positive,english,4,ENG_001534,ENGSRC001534,General,Unknown,140,36,False
"Restaurant se Tandoori Roti order kiya via Zomato. Portion sahi tha, thanda pohoch gaya. Disappointed ho gaya.",neutral,hindi_english,3,REV_005084,PROD0005084,Food,Zomato,110,23,False
Tandoori Roti ka flavour balanced tha. Zomato delivery late thi. Nahi lena chahiye tha.,neutral,hindi_english,3,REV_002794,PROD0002794,Food,Zomato,97,21,False
"Myntra se Anarkali Dress liya, size perfect tha aur fabric lightweight. Delivery bahut fast thi. Overall theek hai.",neutral,hindi_english,3,REV_011622,PROD0011622,Fashion,Myntra,125,26,False
"Installation difficult tha, overall great value. Must try.",neutral,hindi_english,3,REV_000806,PROD0000806,Home,Amazon,68,12,False
"Flipkart se Steam Iron liya, quality flimsy. Delivery late thi, packaging sahi thi. Disappointed ho gaya.",positive,hindi_english,5,REV_008795,PROD0008795,General,Unknown,105,22,False
"Electric Kettle ka performance excellent tha, price affordable. Warranty return helpful tha. Overall theek hai.",positive,hindi_english,4,REV_003652,PROD0003652,General,Unknown,111,21,False
"Price reasonable tha, Anarkali Dress overall okay okay. Value for money.",neutral,hindi_english,3,REV_001364,PROD0001364,Fashion,Myntra,82,16,False
"Pressure Cooker ka performance mast tha, price mehenga tha. Warranty return slow tha. Value for money.",neutral,hindi_english,3,REV_003752,PROD0003752,Electronics,Flipkart,112,23,False
"Amazon pe Bluetooth Speaker purchase kiya, build badhiya hai. Packaging leak-proof thi, delivery late thi. Overall theek hai.",negative,hindi_english,1,REV_009246,PROD0009246,Kitchen,Amazon,135,26,False
"Amazon pe Desk Lamp purchase kiya, build average hai. Packaging theek thi, delivery on time thi. Overall theek hai.",positive,hindi_english,4,REV_010554,PROD0010554,General,Unknown,115,26,False
just on show piece only so we not use regular basis not comfortable for baby its only use for above 7 month baby,positive,english,4,ENG_033213,ENGSRC033213,General,Unknown,112,32,False
"Denim Jeans ki stitching badhiya hai, color vibrant. Exchange return helpful tha. Disappointed ho gaya.",negative,hindi_english,1,REV_011396,PROD0011396,Fashion,Myntra,103,21,False
"Amazon pe Powerbank purchase kiya, build badhiya hai. Packaging kharab thi, delivery bahut fast thi. Disappointed ho gaya.",neutral,hindi_english,3,REV_006160,PROD0006160,Home,Amazon,122,25,False
"Swiggy se Margherita Pizza order kiya, taste fresh tha, delivery on time thi. Packaging leak-proof thi. Value for money.",negative,hindi_english,2,REV_010720,PROD0010720,Food,Swiggy,120,26,False
i also purchase this book and also study iq student i took study iq course but i am not recommend this book bcoz some little little important important topic missed in this plz buy any other standard books its request to all,positive,english,4,ENG_029057,ENGSRC029057,General,Unknown,224,58,False
"Delhi me Swiggy ka order diya Masala Dosa. Quantity kam thi, garam aaya. Nahi lena chahiye tha.",negative,hindi_english,1,REV_009750,PROD0009750,Food,Swiggy,95,23,False
"Design outdated hai, use karne me easy. Disappointed ho gaya.",positive,hindi_english,4,REV_000470,PROD0000470,General,Unknown,61,14,False
although the first one which i got delivered had some issues and made crazy sounds the replaced grinder is working like a charm its wonderful but those who want to add milllets to this wont be happy as this wont be grinding them to a fine batter,positive,english,4,ENG_027498,ENGSRC027498,General,Unknown,245,65,False
"Flipkart se Hair Dryer liya, quality flimsy. Delivery bahut fast thi, packaging kharab thi. Must try.",positive,hindi_english,4,REV_010046,PROD0010046,General,Unknown,101,22,False
"Bangalore me Swiggy ka order diya Margherita Pizza. Quantity sahi thi, thik temperature. Must try.",positive,hindi_english,4,REV_006049,PROD0006049,General,Unknown,98,21,False
"Kurta Set ki stitching solid hai, color thoda fade. Exchange return slow tha. Disappointed ho gaya.",neutral,hindi_english,3,REV_005001,PROD0005001,Fashion,Myntra,99,22,False
"Amazon pe LED Bulb Pack purchase kiya, build average hai. Packaging theek thi, delivery bahut fast thi. Overall theek hai.",negative,hindi_english,1,REV_012043,PROD0012043,Electronics,Amazon,122,28,False
Paneer Tikka ka flavour light tha. Zomato delivery late thi. Nahi lena chahiye tha.,neutral,hindi_english,3,REV_012624,PROD0012624,Food,Zomato,93,21,False
Idli Sambar fresh tha aur Swiggy delivery late thi thi. Price zyada tha. Value for money.,neutral,hindi_english,3,REV_009273,PROD0009273,Food,Swiggy,99,23,False
"Swiggy se Idli Sambar order kiya, taste bahut achha tha, delivery bahut fast thi. Packaging theek thi. Must try.",negative,hindi_english,1,REV_001582,PROD0001582,Food,Swiggy,112,26,False
"Restaurant se Samosa order kiya via Zomato. Portion kaafi tha, thanda pohoch gaya. Must try.",neutral,hindi_english,3,REV_005708,PROD0005708,Food,Zomato,92,21,False
"Price reasonable tha, Hoodie overall okay okay. Nahi lena chahiye tha.",negative,hindi_english,2,REV_008660,PROD0008660,Fashion,Myntra,80,16,False
"Amazon pe Electric Kettle purchase kiya, build solid hai. Packaging sahi thi, delivery bahut fast thi. Must try.",negative,hindi_english,1,REV_005146,PROD0005146,Home,Amazon,112,25,False
"Restaurant se Chole Bhature order kiya via Zomato. Portion kaafi tha, thik temperature. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_003236,PROD0003236,Food,Zomato,120,25,False
"Bluetooth Speaker ka performance excellent tha, price zyada tha. Warranty return slow tha. Disappointed ho gaya.",neutral,hindi_english,3,REV_004714,PROD0004714,Home,Flipkart,112,22,False
"Kajal ka result average mila, fragrance mild. Price affordable. Phir bhi recommend karunga.",negative,hindi_english,2,REV_010141,PROD0010141,Beauty,Nykaa,91,18,False
best in quality designexcellent quality displaybest in quality keyboard and touchpadquick and nice fingerprint sensorbattery life is fine lasts almost 3 hours on full charge speakers are of average quality ram can be upgraded upto 16 gb but it has only 1 upgradeable memory slot as one slot is already being fixed with the motherboard overall must buy laptop if youre looking to buy something around 30k,positive,english,4,ENG_014210,ENGSRC014210,General,Unknown,403,93,False
"Zomato pe Samosa mangwaya, bland. Delivery late thi thi, packaging sahi thi. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_012892,PROD0012892,Food,Zomato,99,22,False
review based on 1 week of usagevery good powerful motor good quality of jars looks modern and attractive mixer,positive,english,4,ENG_015387,ENGSRC015387,General,Unknown,110,26,False
"Powerbank ka performance mast hai, price reasonable. Return replace theek tha. Value for money.",negative,hindi_english,1,REV_009282,PROD0009282,Kitchen,Amazon,95,19,False
"Mixer Grinder ka performance mast hai, price affordable. Return replace helpful tha. Phir bhi recommend karunga.",negative,hindi_english,1,REV_003685,PROD0003685,Electronics,Amazon,122,23,False
"Ahmedabad me Swiggy ka order diya Paneer Tikka. Quantity kam thi, garam aaya. Overall theek hai.",neutral,hindi_english,3,REV_008908,PROD0008908,Food,Swiggy,106,23,False
"Zomato pe Vada Pav mangwaya, spicy. Delivery bahut fast thi thi, packaging leak-proof thi. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_012221,PROD0012221,Food,Zomato,123,26,False
"Myntra se Sneakers liya, size thoda tight tha aur fabric soft. Delivery late thi. Overall theek hai.",neutral,hindi_english,3,REV_012536,PROD0012536,Fashion,Myntra,110,25,False
"Flipkart se Trimmer liya, quality flimsy. Delivery bahut fast thi, packaging kharab thi. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_000318,PROD0000318,Home,Flipkart,126,25,False
"Bangalore me Swiggy ka order diya Paneer Tikka. Quantity sahi thi, thik temperature. Nahi lena chahiye tha.",neutral,hindi_english,3,REV_005046,PROD0005046,Food,Swiggy,117,25,False
"Zomato pe Tandoori Roti mangwaya, average. Delivery late thi thi, packaging kharab thi. Must try.",neutral,hindi_english,3,REV_007116,PROD0007116,Food,Zomato,97,21,False
"Pune me Swiggy ka order diya Cheeseburger. Quantity sahi thi, thik temperature. Must try.",neutral,hindi_english,3,REV_008550,PROD0008550,Food,Swiggy,99,21,False
"Zomato pe Hakka Noodles mangwaya, average. Delivery on time thi thi, packaging leak-proof thi. Phir bhi recommend karunga.",negative,hindi_english,2,REV_012388,PROD0012388,Food,Zomato,122,25,False
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery bahut fast thi. Nahi lena chahiye tha.",negative,hindi_english,1,REV_008471,PROD0008471,Beauty,Nykaa,127,29,False
"Nykaa se Matte Lipstick liya, skin pe feel greasy nahi hai. Packaging sahi thi. Delivery on time thi. Disappointed ho gaya.",neutral,hindi_english,3,REV_011794,PROD0011794,Beauty,Nykaa,123,29,False
"Swiggy se Cheeseburger order kiya, taste bahut achha tha, delivery on time thi. Packaging kharab thi. Disappointed ho gaya.",positive,hindi_english,4,REV_000411,PROD0000411,General,Unknown,123,26,False
"Amazon pe Bluetooth Speaker purchase kiya, build average hai. Packaging sahi thi, delivery on time thi. Overall theek hai.",neutral,hindi_english,3,REV_008788,PROD0008788,Kitchen,Amazon,122,26,False
"Swiggy se Paneer Tikka order kiya, taste spicy tha, delivery late thi. Packaging leak-proof thi. Must try.",neutral,hindi_english,3,REV_007053,PROD0007053,Food,Swiggy,116,25,False
"Face Wash ka result visible mila, fragrance strong. Price reasonable. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_011405,PROD0011405,Beauty,Nykaa,107,21,False
Paneer Tikka fresh tha aur Swiggy delivery late thi thi. Price affordable. Phir bhi recommend karunga.,negative,hindi_english,1,REV_010062,PROD0010062,Food,Swiggy,102,22,False
Tandoori Roti ka flavour light tha. Zomato delivery on time thi. Must try.,negative,hindi_english,2,REV_006911,PROD0006911,Food,Zomato,84,19,False
"Price mehenga tha tha, Track Pants overall great value. Overall theek hai.",neutral,hindi_english,3,REV_002063,PROD0002063,Fashion,Myntra,74,16,False
"Zomato pe Tandoori Roti mangwaya, average. Delivery on time thi thi, packaging leak-proof thi. Value for money.",positive,hindi_english,5,REV_003707,PROD0003707,General,Unknown,111,23,False
"Nykaa se Face Serum liya, skin pe feel thoda sticky hai. Packaging leak-proof thi. Delivery on time thi. Nahi lena chahiye tha.",negative,hindi_english,1,REV_001185,PROD0001185,Beauty,Nykaa,127,30,False
"Myntra se Formal Shirt liya, size perfect tha aur fabric lightweight. Delivery on time thi. Overall theek hai.",positive,hindi_english,4,REV_008991,PROD0008991,General,Unknown,110,25,False
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery late thi. Value for money.",neutral,hindi_english,3,REV_006016,PROD0006016,Beauty,Nykaa,125,28,False
"Myntra se Kurta Set liya, size loose tha aur fabric thick. Delivery bahut fast thi. Phir bhi recommend karunga.",negative,hindi_english,2,REV_012717,PROD0012717,Fashion,Myntra,111,26,False
"Kajal ka result visible mila, fragrance mild. Price mehenga tha. Phir bhi recommend karunga.",neutral,hindi_english,3,REV_003672,PROD0003672,Beauty,Nykaa,102,21,False
"Myntra se Denim Jeans liya, size thoda tight tha aur fabric rough. Delivery on time thi. Overall theek hai.",neutral,hindi_english,3,REV_002216,PROD0002216,Fashion,Myntra,117,28,False
"Track Pants ki stitching badhiya hai, color vibrant. Exchange return theek tha. Must try.",negative,hindi_english,2,REV_001871,PROD0001871,Fashion,Myntra,89,19,False
these lights made my decoration so beautiful but after few months the light is not working,positive,english,4,ENG_031660,ENGSRC031660,General,Unknown,90,22,False
