review_text,rating,sentiment,review_date,city,category,platform,language_mix,review_length,review_id,product_id,product_name,aspects_mentioned
"Lucknow me Swiggy ka order diya: Masala Dosa. Quantity sahi thi, garam aaya. Disappointed ho gaya.",5,positive,2023-03-04,Lucknow,Food,Swiggy,hindi_english,98,SYN_006518,SYN0006518,Masala Dosa,general
"Myntra se Anarkali Dress liya, size perfect tha aur fabric thick. Delivery on time thi. Phir bhi recommend karunga.",3,neutral,2025-10-13,Pune,Fashion,Myntra,hindi_english,115,SYN_000972,SYN0000972,Anarkali Dress,general
looks good bt giving 2 star just becoz it is said that it works after charging and with rechargeable battery bt there is no option to switch it on it only works when we plug usb charger in it bad experience bt nice look,4,4,2023-01-26,,General,Flipkart,english,219,ENG_031763,ENGSRC031763,General_Item,general
great product build quality is phenomenal performance is awesome works like a charm,4,4,2023-08-25,,General,Flipkart,english,83,ENG_014701,ENGSRC014701,General_Item,general
best product in this price range and build quality is awesome,4,4,2023-04-26,,General,Flipkart,english,61,ENG_017590,ENGSRC017590,General_Item,general
"Hair Dryer ka performance excellent hai, price mehenga tha. Return/replace helpful tha. Disappointed ho gaya.",2,negative,2025-05-04,Ahmedabad,Electronics,Amazon,hindi_english,109,SYN_003670,SYN0003670,Hair Dryer,general
if youre planning to buy this camera for video shoot then you are going to do a big mistake because its video quality is too much poor,4,4,2023-06-18,,General,Flipkart,english,134,ENG_002571,ENGSRC002571,General_Item,general
"Flipkart se Electric Kettle liya, quality average. Delivery on time thi, packaging leak-proof thi. Disappointed ho gaya.",4,positive,2024-05-20,Chennai,Kitchen,Flipkart,hindi_english,120,SYN_004059,SYN0004059,Electric Kettle,general
nice good value for money and saves a lot of time its charged very fast easy to use and reliable wont let you down,4,4,2023-04-18,,General,Flipkart,english,114,ENG_017894,ENGSRC017894,General_Item,general
chimney is fabulous in this rangehowever the charges for installation is high if masonary work like hole on wall is included in the charges than its ok other wise it is too much because in installation man can screw three screws and hang chimney and take extra charge for other standard fitting must include masonary work,4,4,2024-08-07,,General,Flipkart,english,321,ENG_003028,ENGSRC003028,General_Item,general
size is not as shown in listing and quality is also not good,4,4,2023-12-25,,General,Flipkart,english,60,ENG_030954,ENGSRC030954,General_Item,general
this microwave usually cant be used for fancy stuffs it does my usual job of reheating the food and it does it pretty well especially if you are a bachelor and reheating food is a daily thing this is a great tool,4,4,2025-02-02,,General,Flipkart,english,212,ENG_035519,ENGSRC035519,General_Item,general
"Price zyada tha tha, Denim Jeans overall great value. Overall theek hai.",2,negative,2024-01-17,Delhi,Fashion,Myntra,hindi_english,72,SYN_000961,SYN0000961,Denim Jeans,general
nice watch but after 3 times order then received my product,4,4,2025-06-05,,General,Flipkart,english,59,ENG_022039,ENGSRC022039,General_Item,general
"Formal Shirt ki stitching solid hai, color as shown. Exchange/return theek tha. Phir bhi recommend karunga.",2,negative,2024-11-02,Chennai,Fashion,Myntra,hindi_english,107,SYN_009865,SYN0009865,Formal Shirt,general
"Zomato pe Samosa mangwaya, bland. Delivery bahut fast thi thi, packaging leak-proof thi. Disappointed ho gaya.",3,neutral,2025-02-01,Chennai,Food,Zomato,hindi_english,110,SYN_011264,SYN0011264,Samosa,general
ok let me put in this way though i m not a music lover but still for gymming purpose i bought this connection strength is superb battery backup awesome eight nine hours easily it will give in one charge then bass is too good only the reason to give one less star is this is little heavy and could be foldable design so that it would be easy to carry,4,4,2024-06-14,,General,Flipkart,english,349,ENG_001045,ENGSRC001045,General_Item,general
very good product according to the money because i have got very good product in less money so i am so happy and thank you flipkart,4,4,2024-06-25,,General,Flipkart,english,131,ENG_012167,ENGSRC012167,General_Item,general
"Matte Lipstick ka result visible mila, fragrance mild. Price reasonable. Nahi lena chahiye tha.",2,negative,2025-06-13,Lucknow,Beauty,Nykaa,hindi_english,95,SYN_007555,SYN0007555,Matte Lipstick,general
"Zomato pe Hakka Noodles mangwaya, fresh. Delivery on time thi thi, packaging sahi thi. Overall theek hai.",1,negative,2024-12-15,Hyderabad,Food,Zomato,hindi_english,105,SYN_010499,SYN0010499,Hakka Noodles,general
i am using this cloth as a screen cleaner all the dust absorbed into this cloth best part of the product it is completely made in india product no doubt it is one of the best value product,4,4,2024-11-15,,General,Flipkart,english,188,ENG_028125,ENGSRC028125,General_Item,general
it grinding is too good but it has lot of sound otherwise it is best for money,4,4,2024-10-25,,General,Flipkart,english,78,ENG_015946,ENGSRC015946,General_Item,general
"Flipkart se Hair Dryer liya, quality average. Delivery on time thi, packaging theek thi. Phir bhi recommend karunga.",5,positive,2023-05-01,Kolkata,Electronics,Flipkart,hindi_english,116,SYN_007086,SYN0007086,Hair Dryer,general
microtek ups is very good i like this product thank you flipkart,4,4,2023-11-10,,General,Flipkart,english,64,ENG_032181,ENGSRC032181,General_Item,general
"Swiggy se Gulab Jamun order kiya, taste theek thaak tha, delivery on time thi. Packaging leak-proof thi. Overall theek hai.",3,neutral,2024-05-14,Chennai,Food,Swiggy,hindi_english,123,SYN_004520,SYN0004520,Gulab Jamun,general
"Zomato pe Veg Pulao mangwaya, spicy. Delivery bahut fast thi thi, packaging kharab thi. Value for money.",5,positive,2024-02-10,Kolkata,Food,Zomato,hindi_english,104,SYN_003025,SYN0003025,Veg Pulao,general
"Flipkart se Powerbank liya, quality badhiya. Delivery late thi, packaging sahi thi. Must try.",4,positive,2025-01-20,Bangalore,Electronics,Flipkart,hindi_english,93,SYN_012122,SYN0012122,Powerbank,general
great performance and a real value for money pproduct if you want a gaming beast under 60k then you should consider this i am satisfied with this purchase but just want to know about its services because i heard msi have bad service quality after purchase just one sugesstion dont use google chrome because it will impact your gaming experience i know you all will think what am saying but in my case suddenly chrome started using high cpu and using cpu full potentiol and then games start lagging,4,4,2024-10-31,,General,Flipkart,english,497,ENG_013413,ENGSRC013413,General_Item,general
"Amazon pe Pressure Cooker purchase kiya, build solid hai. Packaging sahi thi, delivery late thi. Value for money.",2,negative,2025-01-04,Pune,Kitchen,Amazon,hindi_english,113,SYN_005484,SYN0005484,Pressure Cooker,general
Chicken Shawarma ka flavour light tha. Zomato delivery late thi. Must try.,5,positive,2024-07-10,Bangalore,Food,Zomato,hindi_english,74,SYN_001420,SYN0001420,Chicken Shawarma,general
"Zomato pe Veg Pulao mangwaya, theek thaak. Delivery late thi thi, packaging leak-proof thi. Overall theek hai.",4,positive,2024-10-28,Ahmedabad,Food,Zomato,hindi_english,110,SYN_006210,SYN0006210,Veg Pulao,general
"Zomato pe Vada Pav mangwaya, bland. Delivery bahut fast thi thi, packaging theek thi. Phir bhi recommend karunga.",1,negative,2023-04-21,Kolkata,Food,Zomato,hindi_english,113,SYN_010743,SYN0010743,Vada Pav,general
it does support win 81 and cable broadbank where rj 45 is reqd for both wanlanthe delivery was quick within 3 days and the packaging was in good condition,4,4,2024-09-05,,General,Flipkart,english,154,ENG_019074,ENGSRC019074,General_Item,general
its not that much effective im not satisfied with the choices you gave,4,4,2025-03-17,,General,Flipkart,english,70,ENG_008648,ENGSRC008648,General_Item,general
this review is after use of many months firstly biggest issue is mop rod rotating action it is of worst quality there is thread slipping while trying to spin and clean mop thus not able to perform basic action keeping mop dirty making product useless and troublesome to use 2 star given only for bucket plastic quality which is good mop absorption is average steel bucket average bucket handle very weak so of no use overall bad quality product dont go by brand milton do not buy it,4,4,2024-12-27,,General,Flipkart,english,482,ENG_029576,ENGSRC029576,General_Item,general
"Kajal ka result average mila, fragrance strong. Price mehenga tha. Nahi lena chahiye tha.",2,negative,2024-06-22,Lucknow,Beauty,Nykaa,hindi_english,89,SYN_000981,SYN0000981,Kajal,general
"Flipkart se Electric Kettle liya, quality flimsy. Delivery bahut fast thi, packaging kharab thi. Value for money.",1,negative,2023-02-25,Mumbai,Kitchen,Flipkart,hindi_english,113,SYN_002784,SYN0002784,Electric Kettle,general
"Amazon pe Desk Lamp purchase kiya, build badhiya hai. Packaging kharab thi, delivery late thi. Disappointed ho gaya.",5,positive,2023-02-16,Mumbai,Kitchen,Amazon,hindi_english,116,SYN_007714,SYN0007714,Desk Lamp,general
"Powerbank ka performance excellent hai, price mehenga tha. Return/replace slow tha. Phir bhi recommend karunga.",5,positive,2025-09-03,Hyderabad,Home,Amazon,hindi_english,111,SYN_011519,SYN0011519,Powerbank,general
"Anarkali Dress ki stitching average hai, color vibrant. Exchange/return theek tha. Nahi lena chahiye tha.",5,positive,2025-05-29,Mumbai,Fashion,Myntra,hindi_english,105,SYN_008601,SYN0008601,Anarkali Dress,general
"Pressure Cooker ka performance excellent hai, price zyada tha. Return/replace theek tha. Disappointed ho gaya.",4,positive,2024-06-05,Ahmedabad,Kitchen,Amazon,hindi_english,110,SYN_011641,SYN0011641,Pressure Cooker,general
it is making noiseno washing estimate timer consuming lots of watersarees are getting shrinkingover all not satisfied,4,4,2024-02-10,,General,Flipkart,english,117,ENG_025716,ENGSRC025716,General_Item,general
"Bluetooth Speaker ka performance excellent tha, price reasonable. Warranty/return slow tha. Overall theek hai.",2,negative,2024-05-31,Delhi,Kitchen,Flipkart,hindi_english,110,SYN_012563,SYN0012563,Bluetooth Speaker,general
"Pune me Swiggy ka order diya: Chicken Biryani. Quantity kam thi, thanda pohoch gaya. Overall theek hai.",3,neutral,2024-11-30,Pune,Food,Swiggy,hindi_english,103,SYN_012752,SYN0012752,Chicken Biryani,general
"Swiggy se Paneer Tikka order kiya, taste theek thaak tha, delivery on time thi. Packaging kharab thi. Value for money.",2,negative,2024-09-27,Ahmedabad,Food,Swiggy,hindi_english,118,SYN_006385,SYN0006385,Paneer Tikka,general
Butter Chicken ka flavour overpowering tha. Zomato delivery late thi. Overall theek hai.,5,positive,2025-03-07,Pune,Food,Zomato,hindi_english,88,SYN_004808,SYN0004808,Butter Chicken,general
"Myntra se Hoodie liya, size loose tha aur fabric soft. Delivery on time thi. Nahi lena chahiye tha.",5,positive,2023-07-26,Kolkata,Fashion,Myntra,hindi_english,99,SYN_006196,SYN0006196,Hoodie,general
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging theek thi. Delivery bahut fast thi. Must try.",1,negative,2024-07-19,Bangalore,Beauty,Nykaa,hindi_english,113,SYN_010649,SYN0010649,Moisturizer,general
"Myntra se Cotton T-Shirt liya, size perfect tha aur fabric thick. Delivery on time thi. Nahi lena chahiye tha.",4,positive,2024-09-17,Jaipur,Fashion,Myntra,hindi_english,110,SYN_007568,SYN0007568,Cotton T-Shirt,general
there are so much things in the bag which are enough to attract a kidmy niece was soo happy getting this and declared immediately that this was the best birthday gift of her,4,4,2024-09-17,,General,Flipkart,english,173,ENG_009054,ENGSRC009054,General_Item,general
samsung freez is the best performance good freez just cooling but installation is very bad delivering is fast,4,4,2025-08-26,,General,Flipkart,english,109,ENG_018576,ENGSRC018576,General_Item,general
Paneer Tikka fresh tha aur Swiggy delivery late thi thi. Price reasonable. Nahi lena chahiye tha.,1,negative,2025-07-21,Ahmedabad,Food,Swiggy,hindi_english,97,SYN_001347,SYN0001347,Paneer Tikka,general
excellent product within this low range very simple to operate but very useful i am great satisfied with this product,4,4,2024-08-26,,General,Flipkart,english,117,ENG_035465,ENGSRC035465,General_Item,general
"Zomato pe Samosa mangwaya, bland. Delivery on time thi thi, packaging kharab thi. Overall theek hai.",1,negative,2024-10-31,Bangalore,Food,Zomato,hindi_english,100,SYN_012674,SYN0012674,Samosa,general
perfect dinner set for daily use quality is good and at a reasonable price,4,4,2025-05-14,,General,Flipkart,english,74,ENG_037578,ENGSRC037578,General_Item,general
not up to mark like other brands please try to buy other brands,4,4,2024-04-30,,General,Flipkart,english,63,ENG_004578,ENGSRC004578,General_Item,general
detergent carry over is happening after wash moreover slight oil layer even not removed effectively after wash,4,4,2025-03-21,,General,Flipkart,english,110,ENG_004148,ENGSRC004148,General_Item,general
"Steam Iron ka performance below average tha, price reasonable. Warranty/return theek tha. Disappointed ho gaya.",1,negative,2025-04-07,Ahmedabad,Kitchen,Flipkart,hindi_english,111,SYN_002120,SYN0002120,Steam Iron,general
after using for three months i can clearly say that this product is not at all recommend for who needs powerful and fine grind very average performance takes multiple rotation just to paste onions poor,4,4,2024-06-16,,General,Flipkart,english,201,ENG_015987,ENGSRC015987,General_Item,general
"Kolkata me Swiggy ka order diya: Margherita Pizza. Quantity kaafi thi, thik temperature. Must try.",5,positive,2023-01-20,Kolkata,Food,Swiggy,hindi_english,98,SYN_004310,SYN0004310,Margherita Pizza,general
"Shampoo ka result decent mila, fragrance none. Price zyada tha. Phir bhi recommend karunga.",5,positive,2023-05-28,Hyderabad,Beauty,Nykaa,hindi_english,91,SYN_004485,SYN0004485,Shampoo,general
"Nykaa se Sunscreen SPF50 liya, skin pe feel greasy nahi hai. Packaging sahi thi. Delivery on time thi. Overall theek hai.",2,negative,2025-02-18,Kolkata,Beauty,Nykaa,hindi_english,121,SYN_011014,SYN0011014,Sunscreen SPF50,general
"Price affordable tha, Sneakers overall okay okay. Value for money.",3,neutral,2025-07-12,Pune,Fashion,Myntra,hindi_english,66,SYN_004771,SYN0004771,Sneakers,general
Gulab Jamun fresh tha aur Swiggy delivery on time thi thi. Price affordable. Overall theek hai.,1,negative,2023-09-16,Pune,Food,Swiggy,hindi_english,95,SYN_002713,SYN0002713,Gulab Jamun,general
"Electric Kettle ka performance theek hai, price reasonable. Return/replace helpful tha. Disappointed ho gaya.",3,neutral,2024-06-25,Chennai,Electronics,Amazon,hindi_english,109,SYN_012187,SYN0012187,Electric Kettle,general
delicate threads and tiny led bulbsnot very big enough for a decoration,4,4,2024-10-10,,General,Flipkart,english,71,ENG_031655,ENGSRC031655,General_Item,general
"Electric Kettle ka performance mast tha, price zyada tha. Warranty/return theek tha. Value for money.",5,positive,2023-04-26,Mumbai,Kitchen,Flipkart,hindi_english,101,SYN_010948,SYN0010948,Electric Kettle,general
"Nykaa se Conditioner liya, skin pe feel greasy nahi hai. Packaging sahi thi. Delivery on time thi. Value for money.",3,neutral,2025-03-22,Hyderabad,Beauty,Nykaa,hindi_english,115,SYN_002546,SYN0002546,Conditioner,general
"Amazon pe Bluetooth Speaker purchase kiya, build average hai. Packaging leak-proof thi, delivery late thi. Nahi lena chahiye tha.",5,positive,2024-12-18,Ahmedabad,Electronics,Amazon,hindi_english,129,SYN_012620,SYN0012620,Bluetooth Speaker,general
"Electric Kettle ka performance below average hai, price reasonable. Return/replace theek tha. Value for money.",4,positive,2025-07-09,Bangalore,Kitchen,Amazon,hindi_english,110,SYN_009852,SYN0009852,Electric Kettle,general
"Flipkart se Bluetooth Speaker liya, quality solid. Delivery late thi, packaging sahi thi. Value for money.",3,neutral,2024-06-17,Chennai,Kitchen,Flipkart,hindi_english,106,SYN_004411,SYN0004411,Bluetooth Speaker,general
the geyser is working awesome and power of efficiency is well but its take more time to heat all of the features are well,4,4,2024-04-01,,General,Flipkart,english,121,ENG_026021,ENGSRC026021,General_Item,general
Chole Bhature ka flavour balanced tha. Zomato delivery late thi. Overall theek hai.,4,positive,2024-04-24,Kolkata,Food,Zomato,hindi_english,83,SYN_012345,SYN0012345,Chole Bhature,general
"Swiggy se Margherita Pizza order kiya, taste spicy tha, delivery bahut fast thi. Packaging leak-proof thi. Overall theek hai.",4,positive,2025-02-24,Hyderabad,Food,Swiggy,hindi_english,125,SYN_012408,SYN0012408,Margherita Pizza,general
"Jaipur me Swiggy ka order diya: Chicken Biryani. Quantity kam thi, garam aaya. Phir bhi recommend karunga.",4,positive,2023-09-11,Jaipur,Food,Swiggy,hindi_english,106,SYN_009611,SYN0009611,Chicken Biryani,general
"Swiggy se Margherita Pizza order kiya, taste bahut achha tha, delivery on time thi. Packaging sahi thi. Value for money.",4,positive,2024-05-09,Chennai,Food,Swiggy,hindi_english,120,SYN_010719,SYN0010719,Margherita Pizza,general
"Zomato pe Vada Pav mangwaya, average. Delivery on time thi thi, packaging leak-proof thi. Overall theek hai.",3,neutral,2024-09-24,Jaipur,Food,Zomato,hindi_english,108,SYN_007572,SYN0007572,Vada Pav,general
"Restaurant se Chole Bhature order kiya via Zomato. Portion kam tha, thik temperature. Must try.",1,negative,2023-05-04,Chennai,Food,Zomato,hindi_english,95,SYN_003571,SYN0003571,Chole Bhature,general
"Price zyada tha tha, Anarkali Dress overall great value. Nahi lena chahiye tha.",2,negative,2025-04-11,Bangalore,Fashion,Myntra,hindi_english,79,SYN_008603,SYN0008603,Anarkali Dress,general
"Kajal ka result visible mila, fragrance mild. Price zyada tha. Disappointed ho gaya.",3,neutral,2025-06-14,Chennai,Beauty,Nykaa,hindi_english,84,SYN_003560,SYN0003560,Kajal,general
"Swiggy se Veg Thali order kiya, taste theek thaak tha, delivery late thi. Packaging leak-proof thi. Disappointed ho gaya.",1,negative,2024-02-24,Ahmedabad,Food,Swiggy,hindi_english,121,SYN_004992,SYN0004992,Veg Thali,general
"Amazon pe Desk Lamp purchase kiya, build average hai. Packaging leak-proof thi, delivery on time thi. Overall theek hai.",3,neutral,2025-09-13,Lucknow,Kitchen,Amazon,hindi_english,120,SYN_007440,SYN0007440,Desk Lamp,general
"Flipkart se LED Bulb Pack liya, quality flimsy. Delivery bahut fast thi, packaging leak-proof thi. Phir bhi recommend karunga.",5,positive,2024-07-26,Jaipur,Home,Flipkart,hindi_english,126,SYN_009326,SYN0009326,LED Bulb Pack,general
"Nykaa se Kajal liya, skin pe feel lightweight hai. Packaging kharab thi. Delivery late thi. Value for money.",2,negative,2023-10-01,Kolkata,Beauty,Nykaa,hindi_english,108,SYN_002301,SYN0002301,Kajal,general
"Mixer Grinder ka performance theek tha, price zyada tha. Warranty/return theek tha. Must try.",1,negative,2024-06-15,Mumbai,Electronics,Flipkart,hindi_english,93,SYN_007667,SYN0007667,Mixer Grinder,general
"Shampoo ka result decent mila, fragrance mild. Price mehenga tha. Disappointed ho gaya.",4,positive,2023-06-20,Ahmedabad,Beauty,Nykaa,hindi_english,87,SYN_005805,SYN0005805,Shampoo,general
"Bangalore me Swiggy ka order diya: Idli Sambar. Quantity sahi thi, thik temperature. Nahi lena chahiye tha.",4,positive,2024-09-13,Bangalore,Food,Swiggy,hindi_english,107,SYN_012023,SYN0012023,Idli Sambar,general
special thanks to flipkart for before time delivery and hastlefree installation regarding the product i aur say you cant expect anything better than dis in this price bracket got it for 7600 in big shopping days and by far all looks good n fine,4,4,2025-06-07,,General,Flipkart,english,244,ENG_034321,ENGSRC034321,General_Item,general
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery on time thi. Nahi lena chahiye tha.",1,negative,2023-05-12,Pune,Beauty,Nykaa,hindi_english,124,SYN_009758,SYN0009758,Moisturizer,general
"Amazon pe Pressure Cooker purchase kiya, build average hai. Packaging theek thi, delivery on time thi. Phir bhi recommend karunga.",4,positive,2024-05-19,Mumbai,Electronics,Amazon,hindi_english,130,SYN_012015,SYN0012015,Pressure Cooker,general
"Flipkart se Hair Dryer liya, quality average. Delivery late thi, packaging theek thi. Overall theek hai.",5,positive,2023-09-28,Mumbai,Home,Flipkart,hindi_english,104,SYN_005212,SYN0005212,Hair Dryer,general
"Track Pants ki stitching badhiya hai, color thoda fade. Exchange/return theek tha. Phir bhi recommend karunga.",4,positive,2024-03-25,Delhi,Fashion,Myntra,hindi_english,110,SYN_011549,SYN0011549,Track Pants,general
