review_text,rating,sentiment,review_date,city,category,platform,language_mix,review_length,dataset_source,review_id,product_id,product_name,aspects_mentioned
Fantastic product! Quality great hai aur delivery fast hui. Value for money achha hai. #22,5,positive,2025-10-10,Hyderabad,Home & Kitchen,Myntra,hindi_english,90,synthetic_reviews,SYN_000023,SYN0000023,Home & Kitchen_Item,"delivery, price, product_quality"
Product quality amazing hai aur delivery on time. Price reasonable hai. #23,5,positive,2025-10-10,Mumbai,Fashion,Flipkart,hindi_english,75,synthetic_reviews,SYN_000024,SYN0000024,Fashion_Item,"delivery, price, product_quality"
Value for money bahut achha hai. Highly recommend. Delivery late thi. #24,5,positive,2025-10-10,Pune,Books,Nykaa,hindi_english,73,synthetic_reviews,SYN_000025,SYN0000025,Books_Item,"delivery, price"
"Description misleading tha, value for money nahi. Price reasonable hai. #25",1,negative,2025-10-10,Mumbai,Sports,Nykaa,hindi_english,75,synthetic_reviews,SYN_000026,SYN0000026,Sports_Item,price
"Description misleading tha, value for money nahi. Customer care helpful tha. #26",1,negative,2025-10-10,Chennai,Electronics,Myntra,hindi_english,80,synthetic_reviews,SYN_000027,SYN0000027,Electronics_Item,price
"Description misleading tha, value for money nahi. Delivery late thi. #27",2,negative,2025-10-10,Jaipur,Home & Kitchen,Nykaa,hindi_english,72,synthetic_reviews,SYN_000028,SYN0000028,Home & Kitchen_Item,"delivery, price"
Value for money bahut achha hai. Highly recommend. Packaging sahi tha. #28,5,positive,2025-10-10,Mumbai,Grocery,Swiggy,hindi_english,74,synthetic_reviews,SYN_000029,SYN0000029,Grocery_Item,"packaging, price"
"Customer service poor tha, issue solve nahi hua. Delivery on time thi. #29",2,negative,2025-10-10,Delhi,Beauty,Nykaa,hindi_english,74,synthetic_reviews,SYN_000030,SYN0000030,Beauty_Item,"customer_service, delivery"
"Build quality solid hai, performance bhi acchi. Packaging kharab tha. #30",5,positive,2025-10-10,Lucknow,Fashion,Flipkart,hindi_english,73,synthetic_reviews,SYN_000031,SYN0000031,Fashion_Item,"packaging, product_quality"
"Description misleading tha, value for money nahi. Price reasonable hai. #31",2,negative,2025-10-10,Bangalore,Beauty,Flipkart,hindi_english,75,synthetic_reviews,SYN_000032,SYN0000032,Beauty_Item,price
Quality bahut kharab hai aur delivery bhi slow thi. Support bilkul madad nahi kiya. #32,2,negative,2025-10-10,Mumbai,Electronics,Myntra,hindi_english,87,synthetic_reviews,SYN_000033,SYN0000033,Electronics_Item,"customer_service, delivery, product_quality"
"Customer service poor tha, issue solve nahi hua. Delivery on time thi. #33",1,negative,2025-10-10,Kolkata,Beauty,Swiggy,hindi_english,74,synthetic_reviews,SYN_000034,SYN0000034,Beauty_Item,"customer_service, delivery"
"Build quality solid hai, performance bhi acchi. Customer care helpful tha. #34",4,positive,2025-10-10,Pune,Fashion,Amazon,hindi_english,78,synthetic_reviews,SYN_000035,SYN0000035,Fashion_Item,product_quality
It functions as expected. No major complaints. Customer care helpful tha. #35,3,neutral,2025-10-10,Chennai,Home & Kitchen,Amazon,hindi_english,77,synthetic_reviews,SYN_000036,SYN0000036,Home & Kitchen_Item,general
Packaging damaged thi aur product broken mila. Packaging sahi tha. #36,1,negative,2025-10-10,Kolkata,Grocery,Flipkart,hindi_english,70,synthetic_reviews,SYN_000037,SYN0000037,Grocery_Item,"packaging, product_quality"
Average quality aur standard delivery time tha. Customer care helpful tha. #37,3,neutral,2025-10-10,Jaipur,Beauty,Nykaa,hindi_english,78,synthetic_reviews,SYN_000038,SYN0000038,Beauty_Item,"delivery, product_quality"
"Build quality solid hai, performance bhi acchi. Support bilkul madad nahi kiya. #38",4,positive,2025-10-10,Pune,Home & Kitchen,Zomato,hindi_english,83,synthetic_reviews,SYN_000039,SYN0000039,Home & Kitchen_Item,"customer_service, product_quality"
"Customer service poor tha, issue solve nahi hua. Customer care helpful tha. #39",2,negative,2025-10-10,Mumbai,Home & Kitchen,Swiggy,hindi_english,79,synthetic_reviews,SYN_000040,SYN0000040,Home & Kitchen_Item,customer_service
Product quality amazing hai aur delivery on time. Packaging sahi tha. #40,4,positive,2025-10-10,Bangalore,Electronics,Swiggy,hindi_english,73,synthetic_reviews,SYN_000041,SYN0000041,Electronics_Item,"delivery, packaging, product_quality"
Value for money bahut achha hai. Highly recommend. Packaging sahi tha. #41,4,positive,2025-10-10,Chennai,Sports,Zomato,hindi_english,74,synthetic_reviews,SYN_000042,SYN0000042,Sports_Item,"packaging, price"
Quality bahut kharab hai aur delivery bhi slow thi. Packaging kharab tha. #42,1,negative,2025-10-10,Mumbai,Books,Swiggy,hindi_english,77,synthetic_reviews,SYN_000043,SYN0000043,Books_Item,"delivery, packaging, product_quality"
"Feature set badhiya hai, use karna easy. Packaging kharab tha. #43",4,positive,2025-10-10,Mumbai,Fashion,Myntra,hindi_english,66,synthetic_reviews,SYN_000044,SYN0000044,Fashion_Item,"packaging, product_quality"
"Feature set badhiya hai, use karna easy. Value for money achha hai. #44",5,positive,2025-10-10,Jaipur,Fashion,Zomato,hindi_english,71,synthetic_reviews,SYN_000045,SYN0000045,Fashion_Item,"price, product_quality"
It functions as expected. No major complaints. Packaging kharab tha. #45,3,neutral,2025-10-10,Bangalore,Beauty,Amazon,hindi_english,72,synthetic_reviews,SYN_000046,SYN0000046,Beauty_Item,packaging
Packaging mast hai aur product perfect condition mein mila. Packaging sahi tha. #46,5,positive,2025-10-10,Bangalore,Beauty,Amazon,hindi_english,83,synthetic_reviews,SYN_000047,SYN0000047,Beauty_Item,packaging
Packaging mast hai aur product perfect condition mein mila. Customer care helpful tha. #47,4,positive,2025-10-10,Kolkata,Books,Flipkart,hindi_english,90,synthetic_reviews,SYN_000048,SYN0000048,Books_Item,packaging
Packaging damaged thi aur product broken mila. Delivery late thi. #48,1,negative,2025-10-10,Bangalore,Electronics,Zomato,hindi_english,69,synthetic_reviews,SYN_000049,SYN0000049,Electronics_Item,"delivery, packaging, product_quality"
Quality bahut kharab hai aur delivery bhi slow thi. Packaging kharab tha. #49,2,negative,2025-10-10,Hyderabad,Home & Kitchen,Amazon,hindi_english,77,synthetic_reviews,SYN_000050,SYN0000050,Home & Kitchen_Item,"delivery, packaging, product_quality"
Quality bahut kharab hai aur delivery bhi slow thi. Value for money achha hai. #50,1,negative,2025-10-10,Bangalore,Home & Kitchen,Nykaa,hindi_english,82,synthetic_reviews,SYN_000051,SYN0000051,Home & Kitchen_Item,"delivery, price, product_quality"
Packaging mast hai aur product perfect condition mein mila. Delivery on time thi. #51,4,positive,2025-10-10,Ahmedabad,Sports,Amazon,hindi_english,85,synthetic_reviews,SYN_000052,SYN0000052,Sports_Item,"delivery, packaging"
"Feature set badhiya hai, use karna easy. Support bilkul madad nahi kiya. #52",4,positive,2025-10-10,Lucknow,Electronics,Myntra,hindi_english,76,synthetic_reviews,SYN_000053,SYN0000053,Electronics_Item,"customer_service, product_quality"
"Customer service poor tha, issue solve nahi hua. Customer care helpful tha. #53",2,negative,2025-10-10,Kolkata,Books,Nykaa,hindi_english,79,synthetic_reviews,SYN_000054,SYN0000054,Books_Item,customer_service
"Description misleading tha, value for money nahi. Value for money achha hai. #54",1,negative,2025-10-10,Ahmedabad,Grocery,Amazon,hindi_english,80,synthetic_reviews,SYN_000055,SYN0000055,Grocery_Item,price
"Build quality solid hai, performance bhi acchi. Delivery late thi. #55",5,positive,2025-10-10,Pune,Electronics,Flipkart,hindi_english,70,synthetic_reviews,SYN_000056,SYN0000056,Electronics_Item,"delivery, product_quality"
"Description misleading tha, value for money nahi. Value for money achha hai. #56",2,negative,2025-10-10,Jaipur,Books,Zomato,hindi_english,80,synthetic_reviews,SYN_000057,SYN0000057,Books_Item,price
Fantastic product! Quality great hai aur delivery fast hui. Support bilkul madad nahi kiya. #57,5,positive,2025-10-10,Pune,Beauty,Nykaa,hindi_english,95,synthetic_reviews,SYN_000058,SYN0000058,Beauty_Item,"customer_service, delivery, product_quality"
"Customer service poor tha, issue solve nahi hua. Packaging sahi tha. #58",2,negative,2025-10-10,Delhi,Electronics,Nykaa,hindi_english,72,synthetic_reviews,SYN_000059,SYN0000059,Electronics_Item,"customer_service, packaging"
Value for money bahut achha hai. Highly recommend. Delivery late thi. #59,4,positive,2025-10-10,Bangalore,Books,Nykaa,hindi_english,73,synthetic_reviews,SYN_000060,SYN0000060,Books_Item,"delivery, price"
"Feature set badhiya hai, use karna easy. Support bilkul madad nahi kiya. #60",5,positive,2025-10-10,Chennai,Sports,Zomato,hindi_english,76,synthetic_reviews,SYN_000061,SYN0000061,Sports_Item,"customer_service, product_quality"
"Build quality solid hai, performance bhi acchi. Customer care helpful tha. #61",4,positive,2025-10-10,Hyderabad,Grocery,Nykaa,hindi_english,78,synthetic_reviews,SYN_000062,SYN0000062,Grocery_Item,product_quality
"Feature set badhiya hai, use karna easy. Value for money achha hai. #62",4,positive,2025-10-10,Delhi,Beauty,Zomato,hindi_english,71,synthetic_reviews,SYN_000063,SYN0000063,Beauty_Item,"price, product_quality"
"Customer service poor tha, issue solve nahi hua. Packaging sahi tha. #63",2,negative,2025-10-10,Lucknow,Fashion,Amazon,hindi_english,72,synthetic_reviews,SYN_000064,SYN0000064,Fashion_Item,"customer_service, packaging"
"Feature set badhiya hai, use karna easy. Delivery late thi. #64",5,positive,2025-10-10,Ahmedabad,Sports,Flipkart,hindi_english,63,synthetic_reviews,SYN_000065,SYN0000065,Sports_Item,"delivery, product_quality"
Quality bahut kharab hai aur delivery bhi slow thi. Delivery late thi. #65,2,negative,2025-10-10,Hyderabad,Sports,Flipkart,hindi_english,74,synthetic_reviews,SYN_000066,SYN0000066,Sports_Item,"delivery, product_quality"
Quality bahut kharab hai aur delivery bhi slow thi. Delivery on time thi. #66,2,negative,2025-10-10,Chennai,Books,Amazon,hindi_english,77,synthetic_reviews,SYN_000067,SYN0000067,Books_Item,"delivery, product_quality"
"Description misleading tha, value for money nahi. Customer care helpful tha. #67",1,negative,2025-10-10,Chennai,Books,Myntra,hindi_english,80,synthetic_reviews,SYN_000068,SYN0000068,Books_Item,price
"Feature set badhiya hai, use karna easy. Customer care helpful tha. #68",4,positive,2025-10-10,Pune,Home & Kitchen,Swiggy,hindi_english,71,synthetic_reviews,SYN_000069,SYN0000069,Home & Kitchen_Item,product_quality
Packaging mast hai aur product perfect condition mein mila. Support bilkul madad nahi kiya. #69,4,positive,2025-10-10,Bangalore,Home & Kitchen,Amazon,hindi_english,95,synthetic_reviews,SYN_000070,SYN0000070,Home & Kitchen_Item,"customer_service, packaging"
"Feature set badhiya hai, use karna easy. Customer care helpful tha. #70",5,positive,2025-10-10,Lucknow,Books,Amazon,hindi_english,71,synthetic_reviews,SYN_000071,SYN0000071,Books_Item,product_quality
"Description misleading tha, value for money nahi. Packaging sahi tha. #71",1,negative,2025-10-10,Lucknow,Beauty,Swiggy,hindi_english,73,synthetic_reviews,SYN_000072,SYN0000072,Beauty_Item,"packaging, price"
Value for money bahut achha hai. Highly recommend. Customer care helpful tha. #72,4,positive,2025-10-10,Jaipur,Grocery,Swiggy,hindi_english,81,synthetic_reviews,SYN_000073,SYN0000073,Grocery_Item,price
Value for money bahut achha hai. Highly recommend. Packaging kharab tha. #73,5,positive,2025-10-10,Delhi,Home & Kitchen,Zomato,hindi_english,76,synthetic_reviews,SYN_000074,SYN0000074,Home & Kitchen_Item,"packaging, price"
Product quality amazing hai aur delivery on time. Value for money achha hai. #74,4,positive,2025-10-10,Bangalore,Fashion,Zomato,hindi_english,80,synthetic_reviews,SYN_000075,SYN0000075,Fashion_Item,"delivery, price, product_quality"
Value for money bahut achha hai. Highly recommend. Delivery on time thi. #75,4,positive,2025-10-10,Ahmedabad,Beauty,Nykaa,hindi_english,76,synthetic_reviews,SYN_000076,SYN0000076,Beauty_Item,"delivery, price"
Fantastic product! Quality great hai aur delivery fast hui. Value for money achha hai. #76,5,positive,2025-10-10,Chennai,Grocery,Myntra,hindi_english,90,synthetic_reviews,SYN_000077,SYN0000077,Grocery_Item,"delivery, price, product_quality"
Product quality amazing hai aur delivery on time. Packaging kharab tha. #77,4,positive,2025-10-10,Ahmedabad,Beauty,Nykaa,hindi_english,75,synthetic_reviews,SYN_000078,SYN0000078,Beauty_Item,"delivery, packaging, product_quality"
Product quality amazing hai aur delivery on time. Price reasonable hai. #78,4,positive,2025-10-10,Bangalore,Grocery,Myntra,hindi_english,75,synthetic_reviews,SYN_000079,SYN0000079,Grocery_Item,"delivery, price, product_quality"
Product quality amazing hai aur delivery on time. Packaging sahi tha. #79,4,positive,2025-10-10,Ahmedabad,Home & Kitchen,Flipkart,hindi_english,73,synthetic_reviews,SYN_000080,SYN0000080,Home & Kitchen_Item,"delivery, packaging, product_quality"
Packaging damaged thi aur product broken mila. Price reasonable hai. #80,1,negative,2025-10-10,Mumbai,Beauty,Myntra,hindi_english,72,synthetic_reviews,SYN_000081,SYN0000081,Beauty_Item,"packaging, price, product_quality"
Value for money bahut achha hai. Highly recommend. Customer care helpful tha. #81,5,positive,2025-10-10,Jaipur,Books,Zomato,hindi_english,81,synthetic_reviews,SYN_000082,SYN0000082,Books_Item,price
Packaging damaged thi aur product broken mila. Delivery late thi. #82,2,negative,2025-10-10,Bangalore,Grocery,Swiggy,hindi_english,69,synthetic_reviews,SYN_000083,SYN0000083,Grocery_Item,"delivery, packaging, product_quality"
"Feature set badhiya hai, use karna easy. Packaging kharab tha. #83",5,positive,2025-10-10,Jaipur,Beauty,Myntra,hindi_english,66,synthetic_reviews,SYN_000084,SYN0000084,Beauty_Item,"packaging, product_quality"
Packaging damaged thi aur product broken mila. Customer care helpful tha. #84,2,negative,2025-10-10,Jaipur,Grocery,Nykaa,hindi_english,77,synthetic_reviews,SYN_000085,SYN0000085,Grocery_Item,"packaging, product_quality"
Quality bahut kharab hai aur delivery bhi slow thi. Price reasonable hai. #85,2,negative,2025-10-10,Delhi,Fashion,Flipkart,hindi_english,77,synthetic_reviews,SYN_000086,SYN0000086,Fashion_Item,"delivery, price, product_quality"
Packaging mast hai aur product perfect condition mein mila. Packaging kharab tha. #86,5,positive,2025-10-10,Delhi,Beauty,Swiggy,hindi_english,85,synthetic_reviews,SYN_000087,SYN0000087,Beauty_Item,packaging
Fantastic product! Quality great hai aur delivery fast hui. Delivery on time thi. #87,4,positive,2025-10-10,Lucknow,Books,Amazon,hindi_english,85,synthetic_reviews,SYN_000088,SYN0000088,Books_Item,"delivery, product_quality"
"Description misleading tha, value for money nahi. Customer care helpful tha. #88",2,negative,2025-10-10,Kolkata,Grocery,Zomato,hindi_english,80,synthetic_reviews,SYN_000089,SYN0000089,Grocery_Item,price
Product theek hai. Kuch special nahi. Packaging kharab tha. #89,3,neutral,2025-10-10,Delhi,Home & Kitchen,Myntra,hindi_english,63,synthetic_reviews,SYN_000090,SYN0000090,Home & Kitchen_Item,packaging
Product theek hai. Kuch special nahi. Customer care helpful tha. #90,3,neutral,2025-10-10,Mumbai,Electronics,Swiggy,hindi_english,68,synthetic_reviews,SYN_000091,SYN0000091,Electronics_Item,general
"Feature set badhiya hai, use karna easy. Support bilkul madad nahi kiya. #91",4,positive,2025-10-10,Lucknow,Home & Kitchen,Nykaa,hindi_english,76,synthetic_reviews,SYN_000092,SYN0000092,Home & Kitchen_Item,"customer_service, product_quality"
"Build quality solid hai, performance bhi acchi. Customer care helpful tha. #92",5,positive,2025-10-10,Lucknow,Sports,Swiggy,hindi_english,78,synthetic_reviews,SYN_000093,SYN0000093,Sports_Item,product_quality
Fantastic product! Quality great hai aur delivery fast hui. Delivery late thi. #93,5,positive,2025-10-10,Chennai,Fashion,Zomato,hindi_english,82,synthetic_reviews,SYN_000094,SYN0000094,Fashion_Item,"delivery, product_quality"
Packaging mast hai aur product perfect condition mein mila. Support bilkul madad nahi kiya. #94,5,positive,2025-10-10,Kolkata,Books,Flipkart,hindi_english,95,synthetic_reviews,SYN_000095,SYN0000095,Books_Item,"customer_service, packaging"
Average quality aur standard delivery time tha. Delivery on time thi. #95,3,neutral,2025-10-10,Pune,Fashion,Zomato,hindi_english,73,synthetic_reviews,SYN_000096,SYN0000096,Fashion_Item,"delivery, product_quality"
Average quality aur standard delivery time tha. Customer care helpful tha. #96,3,neutral,2025-10-10,Ahmedabad,Home & Kitchen,Myntra,hindi_english,78,synthetic_reviews,SYN_000097,SYN0000097,Home & Kitchen_Item,"delivery, product_quality"
"Feature set badhiya hai, use karna easy. Value for money achha hai. #97",4,positive,2025-10-10,Bangalore,Beauty,Zomato,hindi_english,71,synthetic_reviews,SYN_000098,SYN0000098,Beauty_Item,"price, product_quality"
"Customer service poor tha, issue solve nahi hua. Price reasonable hai. #98",1,negative,2025-10-10,Ahmedabad,Books,Zomato,hindi_english,74,synthetic_reviews,SYN_000099,SYN0000099,Books_Item,"customer_service, price"
Average quality aur standard delivery time tha. Packaging kharab tha. #99,3,neutral,2025-10-10,Hyderabad,Electronics,Amazon,hindi_english,73,synthetic_reviews,SYN_000100,SYN0000100,Electronics_Item,"delivery, packaging, product_quality"
"Description misleading tha, value for money nahi. Customer care helpful tha. #100",2,negative,2025-10-10,Ahmedabad,Home & Kitchen,Nykaa,hindi_english,81,synthetic_reviews,SYN_000101,SYN0000101,Home & Kitchen_Item,price
Value for money bahut achha hai. Highly recommend. Delivery on time thi. #101,4,positive,2025-10-10,Bangalore,Electronics,Zomato,hindi_english,77,synthetic_reviews,SYN_000102,SYN0000102,Electronics_Item,"delivery, price"
Average quality aur standard delivery time tha. Value for money achha hai. #102,3,neutral,2025-10-10,Lucknow,Grocery,Myntra,hindi_english,79,synthetic_reviews,SYN_000103,SYN0000103,Grocery_Item,"delivery, price, product_quality"
"Feature set badhiya hai, use karna easy. Support bilkul madad nahi kiya. #103",4,positive,2025-10-10,Ahmedabad,Electronics,Flipkart,hindi_english,77,synthetic_reviews,SYN_000104,SYN0000104,Electronics_Item,"customer_service, product_quality"
Packaging mast hai aur product perfect condition mein mila. Packaging sahi tha. #104,5,positive,2025-10-10,Mumbai,Home & Kitchen,Myntra,hindi_english,84,synthetic_reviews,SYN_000105,SYN0000105,Home & Kitchen_Item,packaging
Quality bahut kharab hai aur delivery bhi slow thi. Packaging kharab tha. #105,1,negative,2025-10-10,Kolkata,Fashion,Myntra,hindi_english,78,synthetic_reviews,SYN_000106,SYN0000106,Fashion_Item,"delivery, packaging, product_quality"
"Description misleading tha, value for money nahi. Value for money achha hai. #106",1,negative,2025-10-10,Kolkata,Books,Amazon,hindi_english,81,synthetic_reviews,SYN_000107,SYN0000107,Books_Item,price
Product theek hai. Kuch special nahi. Value for money achha hai. #107,3,neutral,2025-10-10,Delhi,Sports,Amazon,hindi_english,69,synthetic_reviews,SYN_000108,SYN0000108,Sports_Item,price
"Feature set badhiya hai, use karna easy. Delivery on time thi. #108",4,positive,2025-10-10,Bangalore,Fashion,Zomato,hindi_english,67,synthetic_reviews,SYN_000109,SYN0000109,Fashion_Item,"delivery, product_quality"
Packaging damaged thi aur product broken mila. Delivery on time thi. #109,2,negative,2025-10-10,Lucknow,Fashion,Flipkart,hindi_english,73,synthetic_reviews,SYN_000110,SYN0000110,Fashion_Item,"delivery, packaging, product_quality"
Product theek hai. Kuch special nahi. Packaging kharab tha. #110,3,neutral,2025-10-10,Chennai,Home & Kitchen,Nykaa,hindi_english,64,synthetic_reviews,SYN_000111,SYN0000111,Home & Kitchen_Item,packaging
Value for money bahut achha hai. Highly recommend. Customer care helpful tha. #111,5,positive,2025-10-10,Mumbai,Electronics,Zomato,hindi_english,82,synthetic_reviews,SYN_000112,SYN0000112,Electronics_Item,price
"Customer service poor tha, issue solve nahi hua. Packaging kharab tha. #112",2,negative,2025-10-10,Kolkata,Books,Amazon,hindi_english,75,synthetic_reviews,SYN_000113,SYN0000113,Books_Item,"customer_service, packaging"
Value for money bahut achha hai. Highly recommend. Customer care helpful tha. #113,5,positive,2025-10-10,Jaipur,Books,Myntra,hindi_english,82,synthetic_reviews,SYN_000114,SYN0000114,Books_Item,price
"Customer service poor tha, issue solve nahi hua. Delivery on time thi. #114",1,negative,2025-10-10,Ahmedabad,Grocery,Amazon,hindi_english,75,synthetic_reviews,SYN_000115,SYN0000115,Grocery_Item,"customer_service, delivery"
"Feature set badhiya hai, use karna easy. Packaging kharab tha. #115",5,positive,2025-10-10,Jaipur,Sports,Myntra,hindi_english,67,synthetic_reviews,SYN_000116,SYN0000116,Sports_Item,"packaging, product_quality"
"Build quality solid hai, performance bhi acchi. Price reasonable hai. #116",5,positive,2025-10-10,Jaipur,Sports,Myntra,hindi_english,74,synthetic_reviews,SYN_000117,SYN0000117,Sports_Item,"price, product_quality"
"Description misleading tha, value for money nahi. Customer care helpful tha. #117",2,negative,2025-10-10,Hyderabad,Books,Amazon,hindi_english,81,synthetic_reviews,SYN_000118,SYN0000118,Books_Item,price
Value for money bahut achha hai. Highly recommend. Customer care helpful tha. #118,5,positive,2025-10-10,Kolkata,Sports,Amazon,hindi_english,82,synthetic_reviews,SYN_000119,SYN0000119,Sports_Item,price
Packaging mast hai aur product perfect condition mein mila. Value for money achha hai. #119,5,positive,2025-10-10,Chennai,Sports,Flipkart,hindi_english,91,synthetic_reviews,SYN_000120,SYN0000120,Sports_Item,"packaging, price"
Average quality aur standard delivery time tha. Delivery on time thi. #120,3,neutral,2025-10-10,Lucknow,Electronics,Myntra,hindi_english,74,synthetic_reviews,SYN_000121,SYN0000121,Electronics_Item,"delivery, product_quality"
Packaging damaged thi aur product broken mila. Customer care helpful tha. #121,2,negative,2025-10-10,Chennai,Sports,Myntra,hindi_english,78,synthetic_reviews,SYN_000122,SYN0000122,Sports_Item,"packaging, product_quality"
Product theek hai. Kuch special nahi. Price reasonable hai. #122,3,neutral,2025-10-10,Delhi,Beauty,Nykaa,hindi_english,64,synthetic_reviews,SYN_000123,SYN0000123,Beauty_Item,price
Product quality amazing hai aur delivery on time. Support bilkul madad nahi kiya. #123,5,positive,2025-10-10,Jaipur,Home & Kitchen,Zomato,hindi_english,86,synthetic_reviews,SYN_000124,SYN0000124,Home & Kitchen_Item,"customer_service, delivery, product_quality"
"Customer service poor tha, issue solve nahi hua. Delivery late thi. #124",1,negative,2025-10-10,Pune,Home & Kitchen,Zomato,hindi_english,72,synthetic_reviews,SYN_000125,SYN0000125,Home & Kitchen_Item,"customer_service, delivery"
Product theek hai. Kuch special nahi. Support bilkul madad nahi kiya. #125,3,neutral,2025-10-10,Jaipur,Beauty,Nykaa,hindi_english,74,synthetic_reviews,SYN_000126,SYN0000126,Beauty_Item,customer_service
Packaging damaged thi aur product broken mila. Delivery late thi. #126,1,negative,2025-10-10,Kolkata,Beauty,Flipkart,hindi_english,70,synthetic_reviews,SYN_000127,SYN0000127,Beauty_Item,"delivery, packaging, product_quality"
