review_text,sentiment,review_id
"Swiggy se Margherita Pizza order kiya, taste theek thaak tha, delivery late thi. Packaging theek thi. Disappointed ho gaya.",positive,REV_003899
"Matte Lipstick ka result decent mila, fragrance mild. Price affordable. Overall theek hai.",negative,REV_012634
"Synthetic Ahmedabad me Swiggy ka order diya Rajma Chawal. Quantity kam thi, thik temperature. Phir bhi recommend karunga.",negative,REV_006519
giving review after 8month of purchase purchased on jan 2022 product is awesome service also good,positive,ENG_003118
"Nykaa se Matte Lipstick liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery bahut fast thi. Must try.",positive,REV_002154
good but very light weight and material quality is also average,positive,ENG_036333
"Amazon pe Trimmer purchase kiya, build badhiya hai. Packaging sahi thi, delivery on time thi. Overall theek hai.",positive,REV_003709
"Price mehenga tha tha, Kurta Set overall great value. Overall theek hai.",neutral,REV_007153
"Myntra se Anarkali Dress liya, size perfect tha aur fabric thick. Delivery late thi. Value for money.",negative,REV_002032
it not soo good that i exception at certain volume it bass disturb finally not good i not suggest that you buy this sound bar because it sounds also distributed at full volume,positive,ENG_022174
"Synthetic Swiggy se Margherita Pizza order kiya, taste bahut achha tha, delivery late thi. Packaging kharab thi. Must try.",negative,REV_011115
Paneer Tikka ka flavour light tha. Zomato delivery on time thi. Nahi lena chahiye tha.,negative,REV_010912
"Electric Kettle ka performance theek tha, price mehenga tha. Warranty return slow tha. Overall theek hai.",neutral,REV_012541
"Pressure Cooker ka performance excellent tha, price reasonable. Warranty return helpful tha. Must try.",negative,REV_010027
"Synthetic Nykaa se Kajal liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery bahut fast thi. Disappointed ho gaya.",neutral,REV_010293
"Synthetic Conditioner ka result visible mila, fragrance none. Price reasonable. Must try.",negative,REV_006809
"Synthetic Zomato pe Chicken Shawarma mangwaya, spicy. Delivery on time thi thi, packaging leak-proof thi. Value for money.",negative,REV_010717
"Nykaa se Hair Oil liya, skin pe feel greasy nahi hai. Packaging kharab thi. Delivery late thi. Value for money.",negative,REV_001303
"Synthetic Zomato pe Veg Pulao mangwaya, bland. Delivery late thi thi, packaging leak-proof thi. Overall theek hai.",neutral,REV_001687
"Flipkart se Pressure Cooker liya, quality badhiya. Delivery late thi, packaging theek thi. Value for money.",negative,REV_011067
"Jaipur me Swiggy ka order diya Cheeseburger. Quantity kaafi thi, thik temperature. Phir bhi recommend karunga.",neutral,REV_007717
"Synthetic Flipkart se Mixer Grinder liya, quality badhiya. Delivery on time thi, packaging theek thi. Disappointed ho gaya.",negative,REV_008568
"Synthetic Myntra se Kurta Set liya, size thoda tight tha aur fabric lightweight. Delivery bahut fast thi. Nahi lena chahiye tha.",neutral,REV_001445
"Denim Jeans ki stitching solid hai, color thoda fade. Exchange return theek tha. Disappointed ho gaya.",negative,REV_011427
"Powerbank ka performance excellent tha, price reasonable. Warranty return helpful tha. Disappointed ho gaya.",neutral,REV_010212
"Nykaa se Face Serum liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery on time thi. Nahi lena chahiye tha.",positive,REV_000121
"Synthetic Amazon pe Powerbank purchase kiya, build solid hai. Packaging sahi thi, delivery bahut fast thi. Phir bhi recommend karunga.",negative,REV_000509
"Flipkart se Bluetooth Speaker liya, quality solid. Delivery late thi, packaging kharab thi. Must try.",positive,REV_010208
bought this and i loved the productbecause at this price i good such a good sound and bassmetallic earbuds are also very goodi am very happy,positive,ENG_001534
"Restaurant se Tandoori Roti order kiya via Zomato. Portion sahi tha, thanda pohoch gaya. Disappointed ho gaya.",neutral,REV_005084
Synthetic Tandoori Roti ka flavour balanced tha. Zomato delivery late thi. Nahi lena chahiye tha.,neutral,REV_002794
"Synthetic Myntra se Anarkali Dress liya, size perfect tha aur fabric lightweight. Delivery bahut fast thi. Overall theek hai.",neutral,REV_011622
"Synthetic Installation difficult tha, overall great value. Must try.",neutral,REV_000806
"Flipkart se Steam Iron liya, quality flimsy. Delivery late thi, packaging sahi thi. Disappointed ho gaya.",positive,REV_008795
"Electric Kettle ka performance excellent tha, price affordable. Warranty return helpful tha. Overall theek hai.",positive,REV_003652
"Synthetic Price reasonable tha, Anarkali Dress overall okay okay. Value for money.",neutral,REV_001364
"Synthetic Pressure Cooker ka performance mast tha, price mehenga tha. Warranty return slow tha. Value for money.",neutral,REV_003752
"Synthetic Amazon pe Bluetooth Speaker purchase kiya, build badhiya hai. Packaging leak-proof thi, delivery late thi. Overall theek hai.",negative,REV_009246
"Amazon pe Desk Lamp purchase kiya, build average hai. Packaging theek thi, delivery on time thi. Overall theek hai.",positive,REV_010554
just on show piece only so we not use regular basis not comfortable for baby its only use for above 7 month baby,positive,ENG_033213
"Denim Jeans ki stitching badhiya hai, color vibrant. Exchange return helpful tha. Disappointed ho gaya.",negative,REV_011396
"Amazon pe Powerbank purchase kiya, build badhiya hai. Packaging kharab thi, delivery bahut fast thi. Disappointed ho gaya.",neutral,REV_006160
"Swiggy se Margherita Pizza order kiya, taste fresh tha, delivery on time thi. Packaging leak-proof thi. Value for money.",negative,REV_010720
i also purchase this book and also study iq student i took study iq course but i am not recommend this book bcoz some little little important important topic missed in this plz buy any other standard books its request to all,positive,ENG_029057
"Delhi me Swiggy ka order diya Masala Dosa. Quantity kam thi, garam aaya. Nahi lena chahiye tha.",negative,REV_009750
"Design outdated hai, use karne me easy. Disappointed ho gaya.",positive,REV_000470
although the first one which i got delivered had some issues and made crazy sounds the replaced grinder is working like a charm its wonderful but those who want to add milllets to this wont be happy as this wont be grinding them to a fine batter,positive,ENG_027498
"Flipkart se Hair Dryer liya, quality flimsy. Delivery bahut fast thi, packaging kharab thi. Must try.",positive,REV_010046
"Bangalore me Swiggy ka order diya Margherita Pizza. Quantity sahi thi, thik temperature. Must try.",positive,REV_006049
"Kurta Set ki stitching solid hai, color thoda fade. Exchange return slow tha. Disappointed ho gaya.",neutral,REV_005001
"Amazon pe LED Bulb Pack purchase kiya, build average hai. Packaging theek thi, delivery bahut fast thi. Overall theek hai.",negative,REV_012043
Synthetic Paneer Tikka ka flavour light tha. Zomato delivery late thi. Nahi lena chahiye tha.,neutral,REV_012624
Synthetic Idli Sambar fresh tha aur Swiggy delivery late thi thi. Price zyada tha. Value for money.,neutral,REV_009273
"Swiggy se Idli Sambar order kiya, taste bahut achha tha, delivery bahut fast thi. Packaging theek thi. Must try.",negative,REV_001582
"Restaurant se Samosa order kiya via Zomato. Portion kaafi tha, thanda pohoch gaya. Must try.",neutral,REV_005708
"Synthetic Price reasonable tha, Hoodie overall okay okay. Nahi lena chahiye tha.",negative,REV_008660
"Amazon pe Electric Kettle purchase kiya, build solid hai. Packaging sahi thi, delivery bahut fast thi. Must try.",negative,REV_005146
"Synthetic Restaurant se Chole Bhature order kiya via Zomato. Portion kaafi tha, thik temperature. Nahi lena chahiye tha.",neutral,REV_003236
"Bluetooth Speaker ka performance excellent tha, price zyada tha. Warranty return slow tha. Disappointed ho gaya.",neutral,REV_004714
"Kajal ka result average mila, fragrance mild. Price affordable. Phir bhi recommend karunga.",negative,REV_010141
best in quality designexcellent quality displaybest in quality keyboard and touchpadquick and nice fingerprint sensorbattery life is fine lasts almost 3 hours on full charge speakers are of average quality ram can be upgraded upto 16 gb but it has only 1 upgradeable memory slot as one slot is already being fixed with the motherboard overall must buy laptop if youre looking to buy something around 30k,positive,ENG_014210
"Zomato pe Samosa mangwaya, bland. Delivery late thi thi, packaging sahi thi. Nahi lena chahiye tha.",neutral,REV_012892
review based on 1 week of usagevery good powerful motor good quality of jars looks modern and attractive mixer,positive,ENG_015387
"Powerbank ka performance mast hai, price reasonable. Return replace theek tha. Value for money.",negative,REV_009282
"Synthetic Mixer Grinder ka performance mast hai, price affordable. Return replace helpful tha. Phir bhi recommend karunga.",negative,REV_003685
"Synthetic Ahmedabad me Swiggy ka order diya Paneer Tikka. Quantity kam thi, garam aaya. Overall theek hai.",neutral,REV_008908
"Synthetic Zomato pe Vada Pav mangwaya, spicy. Delivery bahut fast thi thi, packaging leak-proof thi. Nahi lena chahiye tha.",neutral,REV_012221
"Synthetic Myntra se Sneakers liya, size thoda tight tha aur fabric soft. Delivery late thi. Overall theek hai.",neutral,REV_012536
"Synthetic Flipkart se Trimmer liya, quality flimsy. Delivery bahut fast thi, packaging kharab thi. Phir bhi recommend karunga.",neutral,REV_000318
"Synthetic Bangalore me Swiggy ka order diya Paneer Tikka. Quantity sahi thi, thik temperature. Nahi lena chahiye tha.",neutral,REV_005046
"Zomato pe Tandoori Roti mangwaya, average. Delivery late thi thi, packaging kharab thi. Must try.",neutral,REV_007116
"Synthetic Pune me Swiggy ka order diya Cheeseburger. Quantity sahi thi, thik temperature. Must try.",neutral,REV_008550
"Zomato pe Hakka Noodles mangwaya, average. Delivery on time thi thi, packaging leak-proof thi. Phir bhi recommend karunga.",negative,REV_012388
"Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery bahut fast thi. Nahi lena chahiye tha.",negative,REV_008471
"Nykaa se Matte Lipstick liya, skin pe feel greasy nahi hai. Packaging sahi thi. Delivery on time thi. Disappointed ho gaya.",neutral,REV_011794
"Swiggy se Cheeseburger order kiya, taste bahut achha tha, delivery on time thi. Packaging kharab thi. Disappointed ho gaya.",positive,REV_000411
"Amazon pe Bluetooth Speaker purchase kiya, build average hai. Packaging sahi thi, delivery on time thi. Overall theek hai.",neutral,REV_008788
"Synthetic Swiggy se Paneer Tikka order kiya, taste spicy tha, delivery late thi. Packaging leak-proof thi. Must try.",neutral,REV_007053
"Synthetic Face Wash ka result visible mila, fragrance strong. Price reasonable. Phir bhi recommend karunga.",neutral,REV_011405
Paneer Tikka fresh tha aur Swiggy delivery late thi thi. Price affordable. Phir bhi recommend karunga.,negative,REV_010062
Synthetic Tandoori Roti ka flavour light tha. Zomato delivery on time thi. Must try.,negative,REV_006911
"Price mehenga tha tha, Track Pants overall great value. Overall theek hai.",neutral,REV_002063
"Zomato pe Tandoori Roti mangwaya, average. Delivery on time thi thi, packaging leak-proof thi. Value for money.",positive,REV_003707
"Nykaa se Face Serum liya, skin pe feel thoda sticky hai. Packaging leak-proof thi. Delivery on time thi. Nahi lena chahiye tha.",negative,REV_001185
"Myntra se Formal Shirt liya, size perfect tha aur fabric lightweight. Delivery on time thi. Overall theek hai.",positive,REV_008991
"Synthetic Nykaa se Moisturizer liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery late thi. Value for money.",neutral,REV_006016
"Myntra se Kurta Set liya, size loose tha aur fabric thick. Delivery bahut fast thi. Phir bhi recommend karunga.",negative,REV_012717
"Synthetic Kajal ka result visible mila, fragrance mild. Price mehenga tha. Phir bhi recommend karunga.",neutral,REV_003672
"Synthetic Myntra se Denim Jeans liya, size thoda tight tha aur fabric rough. Delivery on time thi. Overall theek hai.",neutral,REV_002216
"Track Pants ki stitching badhiya hai, color vibrant. Exchange return theek tha. Must try.",negative,REV_001871
these lights made my decoration so beautiful but after few months the light is not working,positive,ENG_031660
"Conditioner ka result average mila, fragrance strong. Price zyada tha. Nahi lena chahiye tha.",positive,REV_009755
"Face Wash ka result average mila, fragrance pleasant. Price reasonable. Phir bhi recommend karunga.",positive,REV_010434
"Price zyada tha tha, Kurta Set overall paisa wasool. Phir bhi recommend karunga.",positive,REV_006232
"Swiggy se Paneer Tikka order kiya, taste theek thaak tha, delivery on time thi. Packaging leak-proof thi. Phir bhi recommend karunga.",negative,REV_009899
"Synthetic Flipkart se Electric Kettle liya, quality solid. Delivery on time thi, packaging sahi thi. Nahi lena chahiye tha.",neutral,REV_012694
"Hair Dryer ka performance theek tha, price reasonable. Warranty return slow tha. Nahi lena chahiye tha.",negative,REV_000674
if you have a budget of 2k then just go for it ive upgraded from its earlier varient to this nowawesome battery packup lasts easily for 2 days after full chargei mostly charge for just 1015mins with oneplus warp charger and use it for the whole day the charging speed depends on your charger output the charging port type is c if you dont have type c cable then dont worry youll get a small type c cable inside the box that you can use with any charging adaptorsound quality is g,positive,ENG_001619
"Synthetic Shampoo ka result average mila, fragrance none. Price zyada tha. Value for money.",neutral,REV_012507
"Synthetic Pressure Cooker ka performance theek hai, price affordable. Return replace helpful tha. Phir bhi recommend karunga.",neutral,REV_011973
Chicken Biryani fresh tha aur Swiggy delivery bahut fast thi thi. Price zyada tha. Must try.,positive,REV_001269
"Desk Lamp ka performance theek hai, price reasonable. Return replace theek tha. Value for money.",neutral,REV_010587
"Flipkart se Pressure Cooker liya, quality average. Delivery bahut fast thi, packaging leak-proof thi. Nahi lena chahiye tha.",negative,REV_006835
good quality timely delivered and supported to our queries and addressed,positive,ENG_011499
"Synthetic Powerbank ka performance excellent hai, price affordable. Return replace helpful tha. Overall theek hai.",neutral,REV_008076
"Pressure Cooker ka performance theek hai, price reasonable. Return replace slow tha. Nahi lena chahiye tha.",negative,REV_010738
"Swiggy se Idli Sambar order kiya, taste theek thaak tha, delivery late thi. Packaging theek thi. Nahi lena chahiye tha.",negative,REV_006372
"Formal Shirt ki stitching badhiya hai, color vibrant. Exchange return theek tha. Disappointed ho gaya.",neutral,REV_006296
very good i loved it i can impress my friends by doing sick tricks must buy very good skateboard it can f,positive,ENG_008953
"Synthetic Amazon pe LED Bulb Pack purchase kiya, build flimsy hai. Packaging sahi thi, delivery late thi. Overall theek hai.",negative,REV_005918
"Powerbank ka performance theek tha, price reasonable. Warranty return theek tha. Must try.",neutral,REV_005196
"Myntra se Sneakers liya, size thoda tight tha aur fabric rough. Delivery bahut fast thi. Disappointed ho gaya.",negative,REV_004289
"Nykaa se Kajal liya, skin pe feel greasy nahi hai. Packaging theek thi. Delivery bahut fast thi. Must try.",negative,REV_006619
"Synthetic Zomato pe Chole Bhature mangwaya, average. Delivery late thi thi, packaging kharab thi. Must try.",neutral,REV_002183
"Swiggy se Masala Dosa order kiya, taste fresh tha, delivery on time thi. Packaging theek thi. Phir bhi recommend karunga.",negative,REV_004850
"Nykaa se Face Wash liya, skin pe feel lightweight hai. Packaging leak-proof thi. Delivery bahut fast thi. Overall theek hai.",negative,REV_012112
very nice product flipkart service too good and product quality as per quality awesome,positive,ENG_037576
"Myntra se Anarkali Dress liya, size perfect tha aur fabric lightweight. Delivery on time thi. Nahi lena chahiye tha.",neutral,REV_009547
"Flipkart se Powerbank liya, quality flimsy. Delivery late thi, packaging theek thi. Value for money.",negative,REV_006187
Chicken Biryani fresh tha aur Swiggy delivery late thi thi. Price mehenga tha. Overall theek hai.,positive,REV_010421
"Electric Kettle ka performance mast hai, price reasonable. Return replace slow tha. Phir bhi recommend karunga.",negative,REV_008547
"Synthetic Swiggy se Masala Dosa order kiya, taste average tha, delivery on time thi. Packaging leak-proof thi. Nahi lena chahiye tha.",neutral,REV_011575
"Flipkart se Electric Kettle liya, quality badhiya. Delivery bahut fast thi, packaging theek thi. Overall theek hai.",negative,REV_012444
the product is just awesome nothing more is required to saycons size of bowls are small it can be little big,positive,ENG_037125
"Zomato pe Hakka Noodles mangwaya, theek thaak. Delivery on time thi thi, packaging theek thi. Phir bhi recommend karunga.",positive,REV_007949
"Myntra se Cotton T-Shirt liya, size perfect tha aur fabric lightweight. Delivery late thi. Must try.",neutral,REV_009473
"Swiggy se Cheeseburger order kiya, taste theek thaak tha, delivery bahut fast thi. Packaging sahi thi. Disappointed ho gaya.",negative,REV_010070
"Amazon pe Desk Lamp purchase kiya, build solid hai. Packaging sahi thi, delivery late thi. Phir bhi recommend karunga.",negative,REV_006999
"Zomato pe Veg Pulao mangwaya, average. Delivery on time thi thi, packaging leak-proof thi. Must try.",negative,REV_002882
"Synthetic Price reasonable tha, Hoodie overall paisa wasool. Nahi lena chahiye tha.",negative,REV_002668
"Nykaa se Matte Lipstick liya, skin pe feel lightweight hai. Packaging sahi thi. Delivery bahut fast thi. Disappointed ho gaya.",negative,REV_008348
"Amazon pe Bluetooth Speaker purchase kiya, build average hai. Packaging theek thi, delivery late thi. Phir bhi recommend karunga.",positive,REV_012448
"Steam Iron ka performance excellent tha, price affordable. Warranty return helpful tha. Disappointed ho gaya.",neutral,REV_012262
"Nykaa se Face Wash liya, skin pe feel thoda sticky hai. Packaging leak-proof thi. Delivery late thi. Value for money.",positive,REV_007908
its so heavy even i dont able to kick properly and the rubber coating is not good,positive,ENG_012652
"Bluetooth Speaker ka performance mast tha, price mehenga tha. Warranty return helpful tha. Nahi lena chahiye tha.",positive,REV_012759
"Synthetic Hair Dryer ka performance excellent hai, price zyada tha. Return replace slow tha. Nahi lena chahiye tha.",neutral,REV_002141
Chicken Biryani fresh tha aur Swiggy delivery on time thi thi. Price affordable. Phir bhi recommend karunga.,neutral,REV_010329
"Synthetic Amazon pe Pressure Cooker purchase kiya, build flimsy hai. Packaging theek thi, delivery bahut fast thi. Nahi lena chahiye tha.",neutral,REV_001515
Idli Sambar fresh tha aur Swiggy delivery on time thi thi. Price mehenga tha. Must try.,negative,REV_006781
"Amazon pe Pressure Cooker purchase kiya, build average hai. Packaging kharab thi, delivery on time thi. Nahi lena chahiye tha.",negative,REV_010416
one of the best investment if you are developer then installing packages might be messy for first time users,positive,ENG_014583
good product and slip ply board wood and not 10 years for 4 years maximum,positive,ENG_033184
Chole Bhature ka flavour balanced tha. Zomato delivery on time thi. Disappointed ho gaya.,positive,REV_007341
"Matte Lipstick ka result decent mila, fragrance pleasant. Price mehenga tha. Phir bhi recommend karunga.",negative,REV_012623
"Moisturizer ka result decent mila, fragrance mild. Price reasonable. Must try.",positive,REV_007452
"Kurta Set ki stitching solid hai, color vibrant. Exchange return theek tha. Disappointed ho gaya.",neutral,REV_002244
"Lucknow me Swiggy ka order diya Paneer Tikka. Quantity kam thi, thik temperature. Nahi lena chahiye tha.",negative,REV_005798
"Amazon pe Trimmer purchase kiya, build average hai. Packaging theek thi, delivery on time thi. Overall theek hai.",negative,REV_006978
"Electric Kettle ka performance theek hai, price mehenga tha. Return replace theek tha. Overall theek hai.",neutral,REV_012728
"Track Pants ki stitching solid hai, color vibrant. Exchange return slow tha. Disappointed ho gaya.",neutral,REV_012824
"Anarkali Dress ki stitching solid hai, color vibrant. Exchange return helpful tha. Must try.",neutral,REV_005020
"Mumbai me Swiggy ka order diya Rajma Chawal. Quantity sahi thi, garam aaya. Must try.",negative,REV_000246
this makes an older car look uptodate i was very impressed with the screen response to touchoverall i am extremely satisfied with this purchase so far this is much better than buying adaptor kits and wiring harness adaptors this thing bolts right up and plugs right in the camera did not work out of the box but i purchased an upgraded camera and it worked fine,positive,ENG_008265
tv works very well worth a buy the installation was very smooth and complete support was given technician name was sagar nikam gave the demo detaild nicely and helped me with details of extended warranty as well,positive,ENG_020894
"Synthetic Hyderabad me Swiggy ka order diya Cheeseburger. Quantity sahi thi, garam aaya. Must try.",neutral,REV_012592
"Flipkart se Powerbank liya, quality solid. Delivery late thi, packaging kharab thi. Disappointed ho gaya.",negative,REV_003469
"Synthetic Zomato pe Veg Pulao mangwaya, spicy. Delivery late thi thi, packaging leak-proof thi. Phir bhi recommend karunga.",neutral,REV_003183
"Restaurant se Chicken Shawarma order kiya via Zomato. Portion kaafi tha, thik temperature. Nahi lena chahiye tha.",negative,REV_007871
the product is excellent does work perfectly problem with seller was that they didnt provide startup kit as mentioned in the description either they should remove it from the description or should provide it,positive,ENG_035031
this is okay kind of product but useful to wear at home,positive,ENG_010306
"Myntra se Formal Shirt liya, size loose tha aur fabric rough. Delivery late thi. Nahi lena chahiye tha.",neutral,REV_008856
after along confusion gone with mi it doesnt give up excellent picture quality and volume is awesome installation done one the same day love it but we need a fast internet to feel the smooth experience loved a lot,positive,ENG_020544
installation date is 1st aug but still not installed by companyi have already raosed a complain but not resolved by flipkart till time,positive,ENG_031977
first of fall thank you to flipkart i like it very much,positive,ENG_030193
"Synthetic Swiggy se Gulab Jamun order kiya, taste bland tha, delivery bahut fast thi. Packaging leak-proof thi. Phir bhi recommend karunga.",negative,REV_009181
"Nykaa se Matte Lipstick liya, skin pe feel thoda sticky hai. Packaging kharab thi. Delivery bahut fast thi. Disappointed ho gaya.",positive,REV_004871
"Synthetic Restaurant se Veg Pulao order kiya via Zomato. Portion kaafi tha, thik temperature. Overall theek hai.",negative,REV_001040
